a1,a2,a3,a4,a5,a6,a7,a8
1415.8,1419.3,1429.7,1450.7,1475.7,1655.4,1790.5,1689.1
786.1,790.5,1040.2,1225.6,814.3,1983.8,2119.2,2225.1
1615.6,1627.1,1632.9,1649.1,1670.5,1690.3,1672.4,1696.1
1195.9,1233.2,1355,1514,1746.4,1667.6,1650.3,1643.1
1669.7,1693.5,1689.2,1733.4,1886.5,1932.9,1968.7,1965.3
1498.9,1506.1,1509.2,1553.7,1602.6,1640,1669,1692.8
2004.4,2001.6,2023.1,2076.7,2137.2,2299.2,2369.6,2432.4
1898.6,1876.7,1955.4,2087.6,2158.6,2261.5,2260,2249
1231.4,1230.9,1255,1280.6,1320.8,1438.6,1562.3,1904.5
863.5,859.5,859,859.4,870.8,881.2,865.9,876.1
1398.2,1409.1,1420.2,1442.9,1554.9,1599.3,1652.6,1683.4
1147.4,1169.1,1189.6,1269.9,1523,1673.3,1758.7,1724.6
954.8,982.8,1295.6,1358.9,1310.7,1252.8,1218.7,1253.9
1173.5,1181.6,1204.2,1233.6,1270,1287.5,1694.6,2165.7
1740.4,1761.2,1766.4,1778.5,1801.1,1821.2,1842.9,1878.3
1416.6,1424.7,1444.9,1464,1464.2,1479.8,1554.9,1767.2
969.8,1018.9,1014.2,1160.6,1280.8,1292.5,1398.1,1510.4
1387.7,1407.2,1445.2,1491.6,1518.7,1535.1,1566.1,1683
1509.6,1511.2,1529.4,1556.9,1592.7,1642.7,1674.8,1675.7
1572.9,1569.5,1574.7,1587.5,1600.6,1612.3,1621.2,1660.2
1521.7,1594.6,1592.7,1590.2,1601.5,1623.2,1652.4,1689
1648,1644,1656.7,1673.5,1703.9,1751,1854,2048.7
1710.8,1758.9,1786.6,1807,1817.1,1828.3,1811.3,1930.1
1459.7,1469.6,1476.5,1487.6,1505.7,1537.2,1561.4,1597
1425.1,1466.8,1460.6,1465.5,1485.4,1518.1,1561.2,1602.5
1158.5,1149.1,1163,1193.3,1215,1255.8,1246.4,1396.6
1728.5,1731.7,1746.4,1768.5,1799,1836.7,1873,1909.4
1438.2,1562.1,1543.8,1501.4,1539.1,1621.1,1835.3,1886.4
1118.7,1134.5,1161.9,1211.3,1332.1,1394.2,1414.9,1464.1
1053.1,1050.9,1076.5,1420.2,1806.3,1881.1,1525,1728.5
862.3,876.2,1061.4,1379.7,1582.7,1407.7,1760.4,1954.5
911.1,915.2,957.1,1090.8,1251.2,1409,1318.6,1441.3
1405.8,1407.5,1423.5,1437,1451.8,1466.2,1471.9,1479.2
1612,1616,1604.8,1610,1646.2,1701.7,1770.4,1908.1
1426.6,1442.9,1444,1449.4,1450.5,1459.1,1464,1462.5
829.4,808.9,859.1,886.1,897.4,963.2,988.3,1019.3
1588.4,1630.3,1637.4,1638.8,1641.5,1732.9,1756.2,1920.7
1341.2,1326.5,1331.2,1345.3,1403.8,1496.5,1729.7,1875.2
1530.8,1545,1548.2,1567.9,1604.1,1674.1,1715.8,1788.8
1584.4,1597.9,1616.6,1634.9,1647.3,1656.8,1658.4,1690.9
1676.9,1674,1678.2,1702.2,1729.1,1834.9,1933,1948.4
1028.3,1074.6,1135.5,1202.9,1291.7,1395,1537.7,1521.6
1587.6,1590.5,1592.7,1618.8,1669,1730.1,1802,1908.4
1930,1987.5,1933.6,2088.4,2133.5,2175.6,2214.8,2267.8
1501.1,1439.2,1466.5,1531.2,1596.1,1597.2,1579.8,1579.7
1372,1362.7,1381.6,1415.4,1437.2,1456.2,1452.5,1447.4
1329.4,1316.4,1336,1361.9,1400.5,1469.4,1551,1661.3
