file,winner,F1,F2,F3,edit
12345678M_mono_0152,5,5,5,5,0
12345678M_mono_0153,5,5,5,5,0
12345678M_mono_0154,8,8,8,8,0
12345678M_mono_0155,4,4,4,4,0
12345678M_mono_0156,7,7,7,7,0
12345678M_mono_0157,4,4,4,4,0
12345678M_mono_0158,8,8,8,8,0
12345678M_mono_0159,5,5,5,5,0
12345678M_mono_0160,1,1,1,1,0
12345678M_mono_0161,8,8,8,8,0
12345678M_mono_0162,7,7,7,7,0
12345678M_mono_0163,1,1,1,1,0
12345678M_mono_0164,8,8,8,8,0
12345678M_mono_0165,6,6,6,6,0
12345678M_mono_0166,7,7,7,7,0
12345678M_mono_0167,5,5,5,5,0
12345678M_mono_0168,3,3,3,3,0
12345678M_mono_0169,5,5,5,5,0
12345678M_mono_0170,4,4,4,4,0
12345678M_mono_0171,7,7,7,7,0
12345678M_mono_0172,6,6,6,6,0
12345678M_mono_0173,5,5,5,5,0
12345678M_mono_0174,5,5,5,5,0
12345678M_mono_0175,8,8,8,8,0
12345678M_mono_0176,1,1,1,1,0
12345678M_mono_0177,4,4,4,4,0
12345678M_mono_0178,5,5,5,5,0
12345678M_mono_0179,7,7,7,7,0
12345678M_mono_0180,5,5,5,5,0
12345678M_mono_0181,3,3,3,3,0
12345678M_mono_0182,2,2,2,2,0
12345678M_mono_0183,4,4,4,4,0
12345678M_mono_0184,7,7,7,7,0
12345678M_mono_0185,1,1,1,1,0
12345678M_mono_0186,8,8,8,8,0
12345678M_mono_0187,7,7,7,7,0
12345678M_mono_0188,5,5,5,5,0
12345678M_mono_0189,6,6,6,6,0
12345678M_mono_0190,4,4,4,4,0
12345678M_mono_0191,2,2,2,2,0
12345678M_mono_0192,6,6,6,6,0
1JCR8D9J7_mono_0001,3,3,3,3,0
1JCR8D9J7_mono_0002,5,5,5,5,0
1JCR8D9J7_mono_0003,4,4,4,4,0
1JCR8D9J7_mono_0004,3,3,3,3,0
1JCR8D9J7_mono_0005,3,3,3,3,0
1JCR8D9J7_mono_0006,3,3,3,3,0
1JCR8D9J7_mono_0007,3,3,3,3,0
1JCR8D9J7_mono_0008,7,7,7,7,0
1JCR8D9J7_mono_0009,7,7,7,7,0
1JCR8D9J7_mono_0010,4,4,4,4,0
1JCR8D9J7_mono_0011,8,8,8,8,0
1JCR8D9J7_mono_0012,4,4,4,4,0
1JCR8D9J7_mono_0013,7,7,7,7,0
1JCR8D9J7_mono_0014,6,6,6,6,0
1JCR8D9J7_mono_0015,3,3,3,3,0
1JCR8D9J7_mono_0016,6,6,6,6,0
1JCR8D9J7_mono_0017,4,4,4,4,0
1JCR8D9J7_mono_0018,1,1,1,1,0
1JCR8D9J7_mono_0019,7,7,7,7,0
1JCR8D9J7_mono_0020,5,5,5,5,0
1JCR8D9J7_mono_0021,5,5,5,5,0
1JCR8D9J7_mono_0022,2,2,2,2,0
1JCR8D9J7_mono_0023,8,8,8,8,0
1JCR8D9J7_mono_0024,1,1,1,1,0
1JCR8D9J7_mono_0025,6,6,6,6,0
1JCR8D9J7_mono_0026,3,3,3,3,0
1JCR8D9J7_mono_0027,7,7,7,7,0
1JCR8D9J7_mono_0028,7,7,7,7,0
1JCR8D9J7_mono_0029,5,5,5,5,0
1JCR8D9J7_mono_0030,5,5,5,5,0
1JCR8D9J7_mono_0031,3,3,3,3,0
1JCR8D9J7_mono_0032,8,8,8,8,0
1JCR8D9J7_mono_0033,3,3,3,3,0
1JCR8D9J7_mono_0034,7,7,7,7,0
1JCR8D9J7_mono_0035,4,4,4,4,0
1JCR8D9J7_mono_0036,5,5,5,5,0
1JCR8D9J7_mono_0037,6,6,6,6,0
1JCR8D9J7_mono_0038,6,6,6,6,0
1JCR8D9J7_mono_0039,4,4,4,4,0
1JCR8D9J7_mono_0040,7,7,7,7,0
1JCR8D9J7_mono_0041,3,3,3,3,0
1JCR8D9J7_mono_0042,4,4,4,4,0
1JCR8D9J7_mono_0043,3,3,3,3,0
1JCR8D9J7_mono_0044,6,6,6,6,0
1JCR8D9J7_mono_0045,6,6,6,6,0
1JCR8D9J7_mono_0046,5,5,5,5,0
1JCR8D9J7_mono_0047,1,1,1,1,0
1JCR8D9J7_mono_0048,5,5,5,5,0
1JCR8D9J7_mono_0049,4,4,4,4,0
1JCR8D9J7_mono_0050,3,3,3,3,0
1JCR8D9J7_mono_0051,6,6,6,6,0
1JCR8D9J7_mono_0052,2,2,2,2,0
1JCR8D9J7_mono_0053,8,8,8,8,0
1JCR8D9J7_mono_0054,6,6,6,6,0
1JCR8D9J7_mono_0055,7,7,7,7,0
1JCR8D9J7_mono_0056,3,3,3,3,0
1JCR8D9J7_mono_0057,5,5,5,5,0
1JCR8D9J7_mono_0058,8,8,8,8,0
1JCR8D9J7_mono_0059,4,4,4,4,0
1JCR8D9J7_mono_0060,8,8,8,8,0
1JCR8D9J7_mono_0061,1,1,1,1,0
1JCR8D9J7_mono_0062,7,7,7,7,0
1JCR8D9J7_mono_0063,8,8,8,8,0
1JCR8D9J7_mono_0064,8,8,8,8,0
1JCR8D9J7_mono_0065,8,8,8,8,0
1JCR8D9J7_mono_0066,7,7,7,7,0
1JCR8D9J7_mono_0067,3,3,3,3,0
1JCR8D9J7_mono_0068,7,7,7,7,0
1JCR8D9J7_mono_0069,2,2,2,2,0
1JCR8D9J7_mono_0070,6,6,6,6,0
1JCR8D9J7_mono_0071,3,3,3,3,0
1JCR8D9J7_mono_0072,3,3,3,3,0
1JCR8D9J7_mono_0073,8,8,8,8,0
1JCR8D9J7_mono_0074,2,2,2,2,0
1JCR8D9J7_mono_0075,5,5,5,5,0
1JCR8D9J7_mono_0076,5,5,5,5,0
1JCR8D9J7_mono_0077,8,8,8,8,0
1JCR8D9J7_mono_0078,4,4,4,4,0
1JCR8D9J7_mono_0079,4,4,4,4,0
1JCR8D9J7_mono_0080,5,5,5,5,0
1JCR8D9J7_mono_0081,3,3,3,3,0
1JCR8D9J7_mono_0082,5,5,5,5,0
1JCR8D9J7_mono_0083,4,4,4,4,0
1JCR8D9J7_mono_0084,1,1,1,1,0
1JCR8D9J7_mono_0085,5,5,5,5,0
1JCR8D9J7_mono_0086,7,7,7,7,0
1JCR8D9J7_mono_0087,5,5,5,5,0
1JCR8D9J7_mono_0088,6,6,6,6,0
1JCR8D9J7_mono_0089,4,4,4,4,0
1JCR8D9J7_mono_0090,4,4,4,4,0
1JCR8D9J7_mono_0091,3,3,3,3,0
1JCR8D9J7_mono_0092,3,3,3,3,0
1JCR8D9J7_mono_0093,5,5,5,5,0
1JCR8D9J7_mono_0094,6,6,6,6,0
1JCR8D9J7_mono_0095,6,6,6,6,0
1JCR8D9J7_mono_0096,7,7,7,7,0
1JCR8D9J7_mono_0097,8,8,8,8,0
1JCR8D9J7_mono_0098,8,8,8,8,0
1JCR8D9J7_mono_0099,3,3,3,3,0
1JCR8D9J7_mono_0100,5,5,5,5,0
1JCR8D9J7_mono_0101,1,1,1,1,0
1JCR8D9J7_mono_0102,4,4,4,4,0
1JCR8D9J7_mono_0103,5,5,5,5,0
1JCR8D9J7_mono_0104,4,4,4,4,0
1JCR8D9J7_mono_0105,3,3,3,3,0
1JCR8D9J7_mono_0106,5,5,5,5,0
1JCR8D9J7_mono_0107,2,2,2,2,0
1JCR8D9J7_mono_0108,8,8,8,8,0
1JCR8D9J7_mono_0109,6,6,6,6,0
1JCR8D9J7_mono_0110,2,2,2,2,0
1JCR8D9J7_mono_0111,5,5,5,5,0
1JCR8D9J7_mono_0112,2,2,2,2,0
1JCR8D9J7_mono_0113,7,7,7,7,0
1JCR8D9J7_mono_0114,3,3,3,3,0
1JCR8D9J7_mono_0115,6,6,6,6,0
1JCR8D9J7_mono_0116,3,3,3,3,0
1JCR8D9J7_mono_0117,8,8,8,8,0
1JCR8D9J7_mono_0118,6,6,6,6,0
1JCR8D9J7_mono_0119,6,6,6,6,0
1JCR8D9J7_mono_0120,3,3,3,3,0
1JCR8D9J7_mono_0121,5,5,5,5,0
1JCR8D9J7_mono_0122,4,4,4,4,0
1JCR8D9J7_mono_0123,5,5,5,5,0
1JCR8D9J7_mono_0124,3,3,3,3,0
1JCR8D9J7_mono_0125,4,4,4,4,0
1JCR8D9J7_mono_0126,8,8,8,8,0
1JCR8D9J7_mono_0127,3,3,3,3,0
1JCR8D9J7_mono_0128,6,6,6,6,0
1JCR8D9J7_mono_0129,3,3,3,3,0
1JCR8D9J7_mono_0130,8,8,8,8,0
1JCR8D9J7_mono_0131,7,7,7,7,0
1JCR8D9J7_mono_0132,8,8,8,8,0
1JCR8D9J7_mono_0133,3,3,3,3,0
1JCR8D9J7_mono_0134,3,3,3,3,0
1JCR8D9J7_mono_0135,6,6,6,6,0
1JCR8D9J7_mono_0136,8,8,8,8,0
1JCR8D9J7_mono_0137,3,3,3,3,0
1JCR8D9J7_mono_0138,3,3,3,3,0
1JCR8D9J7_mono_0139,5,5,5,5,0
1JCR8D9J7_mono_0140,5,5,5,5,0
1JCR8D9J7_mono_0141,4,4,4,4,0
1JCR8D9J7_mono_0142,6,6,6,6,0
1JCR8D9J7_mono_0143,4,4,4,4,0
1JCR8D9J7_mono_0144,4,4,4,4,0
1JCR8D9J7_mono_0145,3,3,3,3,0
1JCR8D9J7_mono_0146,5,5,5,5,0
1JCR8D9J7_mono_0147,2,2,2,2,0
