file,label,group,color,number
PEEPOOPEE_mono_0014.wav,IY,13,Pink,4164
PEEPOOPEE_mono_0015.wav,AH,3,Black,4165
PEEPOOPEE_mono_0016.wav,AY,7,Magenta,4166
PEEPOOPEE_mono_0017.wav,OW,14,Maroon,4167
PEEPOOPEE_mono_0018.wav,AA,1,Red,4168
PEEPOOPEE_mono_0019.wav,AH,3,Black,4169
PEEPOOPEE_mono_0020.wav,EH,8,Black,4170
PEEPOOPEE_mono_0021.wav,ER,9,Lime,4171
PEEPOOPEE_mono_0022.wav,EY,10,Purple,4172
PEEPOOPEE_mono_0023.wav,AA,1,Red,4173
PEEPOOPEE_mono_0024.wav,AY,7,Magenta,4174
PEEPOOPEE_mono_0025.wav,AY,7,Magenta,4175
PEEPOOPEE_mono_0026.wav,AH,3,Black,4176
PEEPOOPEE_mono_0027.wav,IH,11,Teal,4177
PEEPOOPEE_mono_0028.wav,AE,2,Blue,4178
PEEPOOPEE_mono_0029.wav,AA,1,Red,4179
PEEPOOPEE_mono_0030.wav,AH,3,Black,4180
PEEPOOPEE_mono_0031.wav,AE,2,Blue,4181
PEEPOOPEE_mono_0032.wav,AH,3,Black,4182
PEEPOOPEE_mono_0033.wav,EH,8,Black,4183
PEEPOOPEE_mono_0034.wav,ER,9,Lime,4184
PEEPOOPEE_mono_0035.wav,ER,9,Lime,4185
PEEPOOPEE_mono_0036.wav,AH,3,Black,4186
PEEPOOPEE_mono_0037.wav,EH,8,Black,4187
PEEPOOPEE_mono_0038.wav,IH,11,Teal,4188
PEEPOOPEE_mono_0039.wav,AW,5,Olive,4189
PEEPOOPEE_mono_0040.wav,AY,7,Magenta,4190
PEEPOOPEE_mono_0041.wav,UH,16,Silver,4191
PEEPOOPEE_mono_0042.wav,IH,11,Teal,4192
PEEPOOPEE_mono_0043.wav,AY,7,Magenta,4193
PEEPOOPEE_mono_0044.wav,AE,2,Blue,4194
PEEPOOPEE_mono_0045.wav,EY,10,Purple,4195
PEEPOOPEE_mono_0046.wav,AH,3,Black,4196
PEEPOOPEE_mono_0047.wav,UW,17,Cyan,4197
PEEPOOPEE_mono_0048.wav,EY,10,Purple,4198
PEEPOOPEE_mono_0049.wav,AE,2,Blue,4199
PEEPOOPEE_mono_0050.wav,EY,10,Purple,4200
PEEPOOPEE_mono_0051.wav,UW,17,Cyan,4201
PEEPOOPEE_mono_0052.wav,EH,8,Black,4202
PEEPOOPEE_mono_0053.wav,AH,3,Black,4203
PEEPOOPEE_mono_0054.wav,IH,11,Teal,4204
PEEPOOPEE_mono_0055.wav,IH,11,Teal,4205
PEEPOOPEE_mono_0056.wav,AH,3,Black,4206
PEEPOOPEE_mono_0057.wav,AW,5,Olive,4207
PEEPOOPEE_mono_0058.wav,EY,10,Purple,4208
PEEPOOPEE_mono_0059.wav,ER,9,Lime,4209
PEEPOOPEE_mono_0060.wav,AA,1,Red,4210
PEEPOOPEE_mono_0061.wav,AY,7,Magenta,4211
PEEPOOPEE_mono_0062.wav,AA,1,Red,4212
PEEPOOPEE_mono_0063.wav,AY,7,Magenta,4213
PEEPOOPEE_mono_0064.wav,AH,3,Black,4214
PEEPOOPEE_mono_0065.wav,AO,4,Green,4215
PEEPOOPEE_mono_0066.wav,ER,9,Lime,4216
PEEPOOPEE_mono_0067.wav,AO,4,Green,4217
PEEPOOPEE_mono_0068.wav,AH,3,Black,4218
PEEPOOPEE_mono_0069.wav,AE,2,Blue,4219
PEEPOOPEE_mono_0070.wav,AH,3,Black,4220
PEEPOOPEE_mono_0071.wav,OW,14,Maroon,4221
PEEPOOPEE_mono_0072.wav,EY,10,Purple,4222
PEEPOOPEE_mono_0073.wav,AH,3,Black,4223
PEEPOOPEE_mono_0074.wav,AH,3,Black,4224
PEEPOOPEE_mono_0075.wav,AO,4,Green,4225
PEEPOOPEE_mono_0076.wav,UW,17,Cyan,4226
PEEPOOPEE_mono_0077.wav,EY,10,Purple,4227
PEEPOOPEE_mono_0078.wav,ER,9,Lime,4228
PEEPOOPEE_mono_0079.wav,AW,5,Olive,4229
PEEPOOPEE_mono_0080.wav,OW,14,Maroon,4230
PEEPOOPEE_mono_0081.wav,AE,2,Blue,4231
PEEPOOPEE_mono_0082.wav,IH,11,Teal,4232
PEEPOOPEE_mono_0083.wav,OW,14,Maroon,4233
PEEPOOPEE_mono_0084.wav,AH,3,Black,4234
PEEPOOPEE_mono_0085.wav,EY,10,Purple,4235
PEEPOOPEE_mono_0086.wav,EH,8,Black,4236
PEEPOOPEE_mono_0087.wav,ER,9,Lime,4237
PEEPOOPEE_mono_0088.wav,IY,13,Pink,4238
PEEPOOPEE_mono_0089.wav,AE,2,Blue,4239
PEEPOOPEE_mono_0090.wav,AY,7,Magenta,4240
PEEPOOPEE_mono_0091.wav,AE,2,Blue,4241
PEEPOOPEE_mono_0092.wav,AE,2,Blue,4242
PEEPOOPEE_mono_0093.wav,IH,11,Teal,4243
PEEPOOPEE_mono_0094.wav,AH,3,Black,4244
PEEPOOPEE_mono_0095.wav,AE,2,Blue,4245
PEEPOOPEE_mono_0096.wav,UW,17,Cyan,4246
PEEPOOPEE_mono_0097.wav,AY,7,Magenta,4247
PEEPOOPEE_mono_0098.wav,UH,16,Silver,4248
PEEPOOPEE_mono_0099.wav,EY,10,Purple,4249
PEEPOOPEE_mono_0100.wav,IY,13,Pink,4250
PEEPOOPEE_mono_0101.wav,IH,11,Teal,4251
PEEPOOPEE_mono_0102.wav,AH,3,Black,4252
PEEPOOPEE_mono_0103.wav,IH,11,Teal,4253
PEEPOOPEE_mono_0104.wav,OW,14,Maroon,4254
PEEPOOPEE_mono_0105.wav,OW,14,Maroon,4255
PEEPOOPEE_mono_0106.wav,AY,7,Magenta,4256
PEEPOOPEE_mono_0107.wav,OW,14,Maroon,4257
PEEPOOPEE_mono_0108.wav,AE,2,Blue,4258
PEEPOOPEE_mono_0109.wav,OW,14,Maroon,4259
PEEPOOPEE_mono_0110.wav,ER,9,Lime,4260
PEEPOOPEE_mono_0111.wav,ER,9,Lime,4261
PEEPOOPEE_mono_0112.wav,AH,3,Black,4262
PEEPOOPEE_mono_0113.wav,EY,10,Purple,4263
PEEPOOPEE_mono_0114.wav,AH,3,Black,4264
PEEPOOPEE_mono_0115.wav,ER,9,Lime,4265
PEEPOOPEE_mono_0116.wav,AE,2,Blue,4266
PEEPOOPEE_mono_0117.wav,IH,11,Teal,4267
PEEPOOPEE_mono_0118.wav,IH,11,Teal,4268
PEEPOOPEE_mono_0119.wav,IH,11,Teal,4269
PEEPOOPEE_mono_0120.wav,OW,14,Maroon,4270
PEEPOOPEE_mono_0121.wav,AH,3,Black,4271
PEEPOOPEE_mono_0122.wav,AE,2,Blue,4272
PEEPOOPEE_mono_0123.wav,UW,17,Cyan,4273
PEEPOOPEE_mono_0124.wav,IH,11,Teal,4274
PEEPOOPEE_mono_0125.wav,EH,8,Black,4275
PEEPOOPEE_mono_0126.wav,AA,1,Red,4276
PEEPOOPEE_mono_0127.wav,IY,13,Pink,4277
PEEPOOPEE_mono_0128.wav,AW,5,Olive,4278
PEEPOOPEE_mono_0129.wav,AY,7,Magenta,4279
PEEPOOPEE_mono_0130.wav,AE,2,Blue,4280
PEEPOOPEE_mono_0131.wav,ER,9,Lime,4281
PEEPOOPEE_mono_0132.wav,AH,3,Black,4282
PEEPOOPEE_mono_0133.wav,UW,17,Cyan,4283
PEEPOOPEE_mono_0134.wav,AY,7,Magenta,4284
PEEPOOPEE_mono_0135.wav,AH,3,Black,4285
PEEPOOPEE_mono_0136.wav,AH,3,Black,4286
PEEPOOPEE_mono_0137.wav,EY,10,Purple,4287
PEEPOOPEE_mono_0138.wav,IY,13,Pink,4288
PEEPOOPEE_mono_0139.wav,EH,8,Black,4289
PEEPOOPEE_mono_0140.wav,EY,10,Purple,4290
PEEPOOPEE_mono_0141.wav,AY,7,Magenta,4291
PEEPOOPEE_mono_0142.wav,AA,1,Red,4292
PEEPOOPEE_mono_0143.wav,ER,9,Lime,4293
PEEPOOPEE_mono_0144.wav,AH,3,Black,4294
PEEPOOPEE_mono_0145.wav,AH,3,Black,4295
PEEPOOPEE_mono_0146.wav,AH,3,Black,4296
PEEPOOPEE_mono_0147.wav,IH,11,Teal,4297
PEEPOOPEE_mono_0148.wav,UW,17,Cyan,4298
PEEPOOPEE_mono_0149.wav,AY,7,Magenta,4299
PEEPOOPEE_mono_0150.wav,AA,1,Red,4300
PEEPOOPEE_mono_0151.wav,AH,3,Black,4301
PEEPOOPEE_mono_0152.wav,UW,17,Cyan,4302
PEEPOOPEE_mono_0153.wav,ER,9,Lime,4303
PEEPOOPEE_mono_0154.wav,AH,3,Black,4304
PEEPOOPEE_mono_0155.wav,IH,11,Teal,4305
PEEPOOPEE_mono_0156.wav,UW,17,Cyan,4306
PEEPOOPEE_mono_0157.wav,AY,7,Magenta,4307
PEEPOOPEE_mono_0158.wav,AA,1,Red,4308
PEEPOOPEE_mono_0159.wav,AH,3,Black,4309
PEEPOOPEE_mono_0160.wav,UW,17,Cyan,4310
PEEPOOPEE_mono_0161.wav,ER,9,Lime,4311
PEEPOOPEE_mono_0162.wav,EH,8,Black,4312
PEEPOOPEE_mono_0163.wav,IH,11,Teal,4313
PEEPOOPEE_mono_0164.wav,UW,17,Cyan,4314
PEEPOOPEE_mono_0165.wav,UW,17,Cyan,4315
PEEPOOPEE_mono_0166.wav,AY,7,Magenta,4316
PEEPOOPEE_mono_0167.wav,IH,11,Teal,4317
PEEPOOPEE_mono_0168.wav,AH,3,Black,4318
PEEPOOPEE_mono_0169.wav,AH,3,Black,4319
PEEPOOPEE_mono_0170.wav,AW,5,Olive,4320
PEEPOOPEE_mono_0171.wav,AH,3,Black,4321
PEEPOOPEE_mono_0172.wav,EH,8,Black,4322
PEEPOOPEE_mono_0173.wav,AE,2,Blue,4323
PEEPOOPEE_mono_0174.wav,AH,3,Black,4324
PEEPOOPEE_mono_0175.wav,AH,3,Black,4325
PEEPOOPEE_mono_0176.wav,IY,13,Pink,4326
PEEPOOPEE_mono_0177.wav,AY,7,Magenta,4327
PEEPOOPEE_mono_0178.wav,AE,2,Blue,4328
PEEPOOPEE_mono_0179.wav,ER,9,Lime,4329
PEEPOOPEE_mono_0180.wav,AH,3,Black,4330
PEEPOOPEE_mono_0181.wav,IY,13,Pink,4331
PEEPOOPEE_mono_0182.wav,IH,11,Teal,4332
PEEPOOPEE_mono_0183.wav,AH,3,Black,4333
PEEPOOPEE_mono_0184.wav,IY,13,Pink,4334
PEEPOOPEE_mono_0185.wav,AE,2,Blue,4335
PEEPOOPEE_mono_0186.wav,AA,1,Red,4336
PEEPOOPEE_mono_0187.wav,AH,3,Black,4337
PEEPOOPEE_mono_0188.wav,EH,8,Black,4338
PEEPOOPEE_mono_0189.wav,OW,14,Maroon,4339
PEEPOOPEE_mono_0190.wav,UW,17,Cyan,4340
PEEPOOPEE_mono_0191.wav,IH,11,Teal,4341
PEEPOOPEE_mono_0192.wav,AE,2,Blue,4342
PEEPOOPEE_mono_0193.wav,AH,3,Black,4343
PEEPOOPEE_mono_0194.wav,IH,11,Teal,4344
PEEPOOPEE_mono_0195.wav,AH,3,Black,4345
PEEPOOPEE_mono_0196.wav,AW,5,Olive,4346
PEEPOOPEE_mono_0197.wav,IH,11,Teal,4347
PEEPOOPEE_mono_0198.wav,AO,4,Green,4348
PEEPOOPEE_mono_0199.wav,IH,11,Teal,4349
PEEPOOPEE_mono_0200.wav,AH,3,Black,4350
PEEPOOPEE_mono_0201.wav,AA,1,Red,4351
PEEPOOPEE_mono_0202.wav,IY,13,Pink,4352
PEEPOOPEE_mono_0203.wav,AA,1,Red,4353
PEEPOOPEE_mono_0204.wav,AH,3,Black,4354
PEEPOOPEE_mono_0205.wav,ER,9,Lime,4355
PLM47TO8W_mono_0001.wav,OW,14,Maroon,4356
PLM47TO8W_mono_0002.wav,IH,11,Teal,4357
PLM47TO8W_mono_0003.wav,AO,4,Green,4358
PLM47TO8W_mono_0004.wav,IH,11,Teal,4359
PLM47TO8W_mono_0005.wav,AY,7,Magenta,4360
PLM47TO8W_mono_0006.wav,OW,14,Maroon,4361
PLM47TO8W_mono_0007.wav,AH,3,Black,4362
PLM47TO8W_mono_0008.wav,EY,10,Purple,4363
PLM47TO8W_mono_0009.wav,AE,2,Blue,4364
PLM47TO8W_mono_0010.wav,IH,11,Teal,4365
PLM47TO8W_mono_0011.wav,IY,13,Pink,4366
PLM47TO8W_mono_0012.wav,IY,13,Pink,4367
PLM47TO8W_mono_0013.wav,AH,3,Black,4368
PLM47TO8W_mono_0014.wav,IY,13,Pink,4369
PLM47TO8W_mono_0015.wav,AH,3,Black,4370
PLM47TO8W_mono_0016.wav,AY,7,Magenta,4371
PLM47TO8W_mono_0017.wav,OW,14,Maroon,4372
PLM47TO8W_mono_0018.wav,AA,1,Red,4373
PLM47TO8W_mono_0019.wav,AH,3,Black,4374
PLM47TO8W_mono_0020.wav,EH,8,Black,4375
PLM47TO8W_mono_0021.wav,ER,9,Lime,4376
PLM47TO8W_mono_0022.wav,EY,10,Purple,4377
PLM47TO8W_mono_0023.wav,AA,1,Red,4378
PLM47TO8W_mono_0024.wav,AY,7,Magenta,4379
PLM47TO8W_mono_0025.wav,AY,7,Magenta,4380
PLM47TO8W_mono_0026.wav,AH,3,Black,4381
PLM47TO8W_mono_0027.wav,AH,3,Black,4382
PLM47TO8W_mono_0028.wav,IH,11,Teal,4383
PLM47TO8W_mono_0029.wav,AE,2,Blue,4384
PLM47TO8W_mono_0030.wav,AA,1,Red,4385
PLM47TO8W_mono_0031.wav,AH,3,Black,4386
PLM47TO8W_mono_0032.wav,AE,2,Blue,4387
PLM47TO8W_mono_0033.wav,AH,3,Black,4388
PLM47TO8W_mono_0034.wav,EH,8,Black,4389
PLM47TO8W_mono_0035.wav,ER,9,Lime,4390
PLM47TO8W_mono_0036.wav,ER,9,Lime,4391
PLM47TO8W_mono_0037.wav,AH,3,Black,4392
PLM47TO8W_mono_0038.wav,IY,13,Pink,4393
PLM47TO8W_mono_0039.wav,IH,11,Teal,4394
PLM47TO8W_mono_0040.wav,AE,2,Blue,4395
PLM47TO8W_mono_0041.wav,EH,8,Black,4396
PLM47TO8W_mono_0042.wav,IH,11,Teal,4397
PLM47TO8W_mono_0043.wav,AW,5,Olive,4398
PLM47TO8W_mono_0044.wav,AY,7,Magenta,4399
PLM47TO8W_mono_0045.wav,UH,16,Silver,4400
PLM47TO8W_mono_0046.wav,IH,11,Teal,4401
PLM47TO8W_mono_0047.wav,AY,7,Magenta,4402
PLM47TO8W_mono_0048.wav,AH,3,Black,4403
PLM47TO8W_mono_0049.wav,EY,10,Purple,4404
PLM47TO8W_mono_0050.wav,AH,3,Black,4405
PLM47TO8W_mono_0051.wav,EY,10,Purple,4406
PLM47TO8W_mono_0052.wav,UW,17,Cyan,4407
