e1,e2,e3,e4,e5,e6,e7,e8
73.8,53.4,313.2,79.8,127.9,122.4,109.7,107.9
10264.9,584.6,98.6,251.6,183.8,93.9,59.8,65.5
192.2,138.5,280.3,95.3,98.5,100,83.8,79.6
158.5,92.3,90.5,95.2,92.5,121,362.6,353.1
298.8,349.6,301.9,205.3,148,134.8,119.4,81.2
10265.6,10371.5,10893.8,224.5,210.9,251.2,315.9,348
171.6,313.3,442.3,376.7,57,58.3,48,415.7
190.8,37.9,30.8,32.5,38.5,53.2,96.2,418.6
64.1,46.1,50.6,58.9,60.1,74.1,300.5,670.6
107.3,264.9,260.4,254.4,233.2,226.3,131.9,121.8
277.7,301.5,143.6,169.7,119.3,132.3,756.9,707.9
296.6,377.9,133.8,135.2,140.8,133.8,133.6,336.7
266.1,247.9,204.6,189,276.6,285.5,187.8,175.4
164.3,438.1,255.3,212.6,200.1,234.5,258.3,228.8
626.6,298.9,43.6,51.9,467,732.2,1112.4,1136
665.2,580,96.2,95.8,106.5,101.5,84.8,129.8
130.7,95.7,58.6,202.6,440.6,521.7,662.7,728.9
201.9,549.2,34.9,35.6,229.2,421.2,600.9,836.8
174.1,109,319.5,57.4,57.8,59.6,53.5,53.2
10067.9,183,217.4,180.2,192.1,174.9,196.2,300.1
189.7,622.4,80.9,67.4,87,74.4,331.7,326.7
123.6,105.6,257,118.6,56.8,55.3,59.8,78.2
262,275.4,307.7,274.5,202.1,81.8,79.7,77.3
74.1,107.1,165.4,77.7,45,50.5,69.5,84.4
217.9,269.2,10203.5,317.9,185.1,141.8,167.6,144.8
175.8,198.3,316.7,206.3,80.2,81.9,80.9,81.7
251,582.3,495.8,287.8,181,187.1,167.1,153.2
313.7,370,628.5,317.7,101.5,81,96.6,90.7
190.8,247.8,284.9,268.2,415.1,197,195.9,171.4
143,232.7,180.3,123.4,98.9,256.7,120.6,407.7
69.5,78.3,96.4,258,322.6,334.8,350.5,292.2
234.4,233.2,215.8,120.3,110.4,108.7,109.1,107.9
109.2,153.2,137.1,99.8,85.8,93.2,79.7,79.9
426.4,426.5,238.5,103.1,149.2,123.7,84.9,93.7
196.7,654.6,393.4,182.5,100.2,117.8,123.4,113.6
