a1,a2,a3,a4,a5,a6,a7,a8
2207.2,2200.5,2399,2427.7,2436,2482.7,2557.8,3166.7
2297.2,2037.4,2589.6,2635.5,2637.1,2640.1,2671.5,2696.6
2216.8,2323.1,2433.7,2498.9,2534.5,2604.9,2690.4,2840.1
1802.6,2039.4,2044.2,2044.2,2048.2,2079.7,2138,2248.8
2064,2280,2454.8,2793.8,2806.9,2787.4,2810.7,2861.4
1812.2,1800.4,1862.3,2272.7,2799.2,2893.7,2881.4,2885.5
2157,2664,2756.2,2762.6,2775,2798.3,2802.2,2809.3
2172.1,2430.5,2450.8,2267.6,2699.6,2825.7,2826.8,2827.3
2136.1,2208.4,2282.8,2398.7,2566.7,2649.2,2680.8,2710.4
2368.8,2514.8,2626.6,2652.4,2676.6,2743.3,2797.1,3044.1
2086.1,2104.6,2163.9,2339.7,2505.1,2586.4,2658.1,2665.8
2098.9,2146.3,2358.5,2627.5,2564,2610.9,2655.3,2667.7
1836.6,1840.3,2556.1,2663.9,2703.7,2663.7,2728.8,2725.5
2022.3,2045.1,2196.6,2487.1,2539.6,2548.3,2560.1,2702.1
2081.7,1981.6,1950.7,2361.7,2687.2,2690.9,2688.4,2695.3
2036.2,2096.8,2104.8,2121.4,2156.9,2240.6,2411.5,2661.3
2093.1,2154.9,2160.3,2303,2553.5,2575.7,2573.6,2566
1970.7,2163.3,2551.5,2566.5,2576.7,2586.2,2601.5,2795.1
2100.4,2187.2,2172.7,2527.9,2630.4,2633.6,2645.1,2676
2533.7,2560.2,2717.5,2879.9,2888.4,2898.6,2949.3,3034
2232.2,2281.1,2426.4,2482.2,2484,2425.5,2523.3,2646.8
1704.5,1666.9,1814.6,2331.9,2384.3,2354.2,2359.2,2417.8
1771,2275.2,2593.4,2465,2544.4,2613.3,2669.8,2695.3
1627.2,1608.5,2174.9,2531.8,2534,2533.7,2546.6,2583.9
1860.2,1983.1,1985.8,1976.6,1990,2007.6,1968.6,2497.4
1859.4,1847,2053.9,2332.5,2394.2,2418.4,2443.4,2497.3
1781.4,1835.6,2119.8,2611.7,2585.5,2640,2673.8,2709
2266.7,2403.5,2227.9,2467.7,2680.1,2686.6,2709.2,2813.4
1982.9,2121.6,2125.1,2122.2,2154.5,2199.9,2257.3,2521.8
1925.9,1939.2,1936.6,1943.4,1953.1,1966.2,2092.7,2248.3
1972.3,2005.3,2077.1,2074.8,2093.1,2338.9,2651.5,2673.5
1930.5,1744.7,2609.6,2619.6,2552.9,2660.8,3110.4,4093.4
2626.2,2610.3,2741.4,2754.4,2753,2757.4,2785.7,2879.7
2001.9,1981.9,2034.9,2189.7,2449.4,2694.5,2821.9,2845
1984.3,1934.7,2083,2170.1,2236.9,2300.8,2455.1,2537.9
2146,2537.7,2720.6,2718.6,2844.8,2980.3,3337.7,3551.4
2230.3,2285.6,2630.2,2643.9,2644.9,2639.5,2662.4,2718.6
2368.7,2416.7,2547.7,2580.2,2626.4,2677.9,2758.3,2883.2
1787.1,2275.4,2656.3,2663.8,2704.5,2779.7,2889.2,3053.3
1963.8,1810,2273.9,2675.1,2680.2,2675.9,2676.1,2711
1801.3,2101,2502.9,2567.4,2577,2589.1,2611.9,2632.1
1930,1890.4,2610.5,2627.1,2640.9,2657.1,2721.4,2774.8
1809.6,1742.4,2028.1,2646,2702.8,2696.7,2702.3,2749.2
2127.3,2234,2241.3,2164.8,2488.7,2666.9,2681.6,2699.2
1989.9,2016.2,2159.5,2455.2,2558.7,2559.1,2572.5,2597.4
1958.1,1978.2,1935.5,2193.7,2528.8,2606.4,2611.6,2606.4
2152.7,2247.6,2335.7,2311.5,2812.5,2816.7,2816.8,2811.1
2102.6,2092.8,2106.3,2357.1,2368.4,2456.3,2499.6,2487.1
1821.6,1909.1,2055.4,2458,2582.7,2609.9,2578.6,2599.9
1890.2,1870.9,1997,2144.3,2493.5,2811.1,2841.6,2860.1
2207,2233.4,2138.5,2461.6,2553,2603.9,2584.1,2688.7
1734.3,1737,1754.2,1903,2067.7,2246.6,2405.2,2626.7
2354.1,2284.4,2438.6,2537.5,2551.2,2565.9,2587.9,2623.9
2018.6,2002.8,2021.6,2183.4,2261.8,2277.5,2253.8,2280.4
1881.7,1982.9,2570.1,2692.4,2678.1,2684.3,2710.1,2818
2216.2,2318.7,2321.3,2660.5,2739,2728.3,2722.9,2752.3
2123.8,2091.5,2220.3,2570.8,2637.9,2637.5,2643.8,2665.9
2040.2,1997.9,2183.5,2618.5,2620.3,2610.9,2622.9,2646.8
2548.4,2518,2627.8,2653,2648.5,2667.8,2718.1,2765.5
2035.8,2044,2010.6,2273.3,2622.4,2631.9,2632.6,2622.7
1677.3,1740.5,2042.5,2117.5,2182.8,2119.6,2092.7,2384.3
2196.2,2151.3,2293,2556.5,2594,2604.2,2617.1,2633.8
2714.6,2766.3,2828.1,2814.8,2868,2917.6,2964.3,3011
2479.8,2247.1,2395.6,2647.9,2654.5,2655.3,2680.1,2717.7
1514.1,1988.3,1997,1995.4,1985.1,1997.8,2013.3,2284.9
2456.8,2507.3,2600.6,2659.4,2668.7,2681.2,2690.1,2701.5
2317.9,2257.4,2373,2556.9,2562.3,2564.3,2644.4,2758
2266.5,2341.4,2296.1,2429,2549.2,2588.7,2595.1,2576.1
2054.1,2050.5,2006.4,2274.3,2363.7,2390.8,2384.8,2421.4
1930.7,2021.2,2412.8,2441.4,2404.2,2464.2,2743.3,2822.3
2070.3,2220.1,2410.6,2416.6,2426.8,2462.4,2512.6,2607.7
2052.1,1808.9,1906.7,2526,2554.3,2547.6,2533.4,2570.5
2050.6,1938.4,2219.2,2650.8,2657.8,2632.7,2636.7,2688
1970.5,2251.6,2550.9,2564.6,2546.5,2586.6,2686.9,3416.9
1828,2161.1,2456.3,2505,2527.5,2573.1,2667.8,2888.1
2227.9,2174.1,2532,2617.4,2619.3,2627.7,2630.8,2645.1
1790.5,1852.3,2257.2,2508.4,2648.5,2658.5,2706.1,2796.2
1778.5,1767.3,1968.4,2241.5,2318.3,2400.2,2447.2,2565.2
2142,2009.3,2238,2516.9,2519.2,2521.6,2523.6,2531.1
2006.2,1987.8,1936.1,2068.5,2413,2508.7,2509.7,2506.9
1944.7,1810.3,1923.5,2362,2521.8,2517.9,2504.7,2553.5
1932.3,1839.6,2143,2625.9,2645.6,2637.2,2650.7,2736
2329.5,2313,2710,2769.7,2763.6,2774.7,2848.2,2981.4
2012.4,1915,2013.5,2294.7,2511.7,2538.1,2564.7,2579
2045.1,1877.7,1981.6,2575.8,2653.4,2653,2658.9,2674.6
1891.5,2056.9,2066.1,2093,2173.9,2310.6,2534.3,2828.2
1730.4,1978.5,1983,1978.2,1981.3,2003.6,2057.3,2300.4
1810,2026.2,2029,2018.9,2028.8,2159.8,2378.9,2559.8
2384,2352.1,2498.5,2644.5,2682.3,2715.8,2738.1,2763.8
2125.3,2014.2,2288.9,2651.4,2680.8,2682.3,2682.8,2703.6
2039.9,1753.8,2444.8,2698.5,2693.9,2702.5,2736.8,2991.6
2461.1,2342.2,2452,2567.9,2578,2589,2605.1,2627.2
2289.9,2332.9,2462.3,2604.4,2648.6,2704.4,2787,2841.2
1949.4,1973.2,1779.5,2164.9,2300.4,2301.5,2288.9,2297.9
2316.3,2486.2,2512.6,2763.6,2827.6,2915.1,3144,3222.9
2110.6,1842.1,2282.6,2626.4,2682.2,2679.4,2682.5,2698.6
1901.2,1841,1946.1,2560.7,2658.2,2648.2,2647.8,2689.8
1818.4,1767.5,2322,2571.1,2578.3,2576.6,2587.7,2624.7
1841.3,1863.9,1868.6,1894.9,1949.1,2127.9,2494.3,2594.7
1955.7,2155.8,2128.2,2175.2,2342.1,2655.3,2794.1,2709.7
2039.2,2145.7,2166.7,2251.1,2301.4,2326.3,2650.4,2813.5
1817,1797.2,2170.8,2446.4,2489.3,2468.9,2497.3,2601.2
2079.1,2116.5,2101.2,2131.7,2191.1,2243.3,2286.8,2334.4
1997.2,2012.5,2049.8,2180.6,2247.3,2290,2444.8,2453.6
2098.1,2398.4,2510.2,2548.5,2576,2718.5,2713.8,2723
1766.7,1880.3,1907.9,1927.3,1957.6,1964.8,1978.7,2185.9
2069.9,2053.8,2022.3,2088.3,2476.4,2664.5,2642.2,2698.2
2240.8,2488.5,2689.5,2716.5,2702.6,2707.1,2749.4,2818.2
1897.2,1866.7,1862.3,1973.3,2211.2,2330.2,2350.3,2350.1
1950.1,2029.1,2540.7,2903.1,2906.7,2961.9,3051.5,3192.3
1343.4,1884.5,2631.1,2654.1,2624.6,2655.2,2752.1,2893.7
1374.7,1493.3,2056,2695.6,2700.2,2703.1,2813.5,2890.1
2095.9,1600.5,2500.2,2513,2450.7,2690.4,3005.7,3060.1
1769.5,1918.9,2305.2,2003.8,2148,2495.3,2509.1,2505.4
1532.4,2500.7,2593.4,2552,2681.5,2965.5,3094.2,3172.2
2500.6,2524.3,2548.6,2540.1,2624.3,2695.8,2809.7,3360.6
1075,2470.9,2545.3,2472.7,2547.6,2885.2,3065.9,3110
2113.2,2196.4,2539.1,2848.5,2751.3,3070,3105.4,3077
1961.4,2130.3,2470.3,2650.1,2439.8,3030.3,3104.9,2979
1744.7,1988.2,2029.4,1906.5,2256.7,2876.8,2913.7,2857.1
2275.4,2243.3,2419.2,2827.7,3010.2,3413.5,4568.7,4793.1
2278.7,2563.3,2924.6,2938,2965,2998.4,2980.7,2953.3
1988.9,1939.1,2436.9,2785.5,2788.4,2781.8,2787,2803.2
2071.5,2093.2,2547.5,2710.8,2705.3,2689.6,2753.6,2824.3
1315,1534,2705.2,2645,2834.8,2919.7,2965.3,2996.7
1604.5,1714.8,1792.9,1923.6,2444.6,2499.6,2504.3,2403.2
1533,2370.9,2304.1,2369.5,2375.5,2480.7,2587.7,2748.9
2014.9,1755.5,2059.2,2432.3,2417.9,2514.8,2613.2,2647.7
1602.2,1590.5,2247.3,1596.6,2655.4,2809.4,2824.6,2827.8
1522.1,1512.4,2383.2,2600.9,2756.6,2774.6,2795.7,2777.2
1696.4,1861.2,2152.3,2450.4,2854.6,2857.8,2914.2,3063.7
1758.6,1761.3,2353.9,2625.6,2624,2638.4,2701.3,2826.9
1360.6,1407.5,2033,1932.5,2268.1,2751.5,2794.3,2795.9
1934.7,1883.1,2246.7,2334.6,2472.1,2857.5,3033,3051.7
1811.4,1887.4,2455,2362.2,2587.1,2686.7,2728.6,2758.3
2129.2,1877.1,2359.3,2331.2,2351,2510,2957.6,3055.7
1241.3,1391.8,2420.2,2550.4,2643.2,3133.2,3670.3,3777.3
1948.7,2330.6,2488.7,2199.3,2764.3,2777.4,2767,2832.2
1384.2,1549.2,1674.5,1931.8,2256.6,2217.4,2301.6,2434.4
1252.3,2212.4,2115.9,2194.9,2412.5,2482.3,2516.9,2581.9
1639.1,1954.7,2751.7,2818.1,2843.4,2836.8,2852.7,2919
1483.8,1588.4,1877,1800.9,2371.6,2461.3,2456,2436.9
1572.7,2066.6,2442.4,2127.8,2418.7,2880.9,2936.2,2940.6
1732.2,1563.1,2085.9,1893.6,1959.5,2572.7,3124.7,3131.8
1688.4,1696.5,1707.5,1685.4,1713.6,2667.7,2837.8,2965.9
1862.2,1734.7,1790,2295.7,2537.7,2500.6,2488.4,2539.8
1691,1698,1697.8,2108.4,2417.4,2590.2,2680.8,2373.2
2025.1,2266.8,2525.2,2634.9,2674.3,2744.5,2780.8,2778.7
1736.1,1831.4,2802.2,2826.1,2886.7,2895.6,2916.6,2937.8
1737.9,2004.7,2804.2,2545.8,2641.3,2844.2,2851.7,2846.4
1339.2,1572.4,2454.1,2490.6,2487.1,2465.4,2530.3,2658.7
1612.6,1560.3,1807.5,2672,2664.2,2664,2904.6,3492.3
1476.7,2078.2,2566.7,2635.3,2523.2,2768.5,3066.2,3216.6
1533,1863.6,1957.9,1916.1,1889.7,1944.8,2137.3,2553.7
1946.9,2047.4,2283.1,2442.8,2538.3,2533.6,2505.6,2571.6
1612.3,1609.1,1680.4,1948.3,2572.2,2565.9,2498.1,2518.5
2096,2108.2,2664.6,2684.7,2698.8,2773.7,2826.5,2900.5
1473.3,2137.1,2431.8,2567.3,2722.2,2933.5,3006,3123.3
1305.5,1891.9,2316,2530.5,2487,2682.2,2815.1,3251.1
1800.1,1860.3,2292.1,2045.4,2239.7,2860.1,2942,2979.2
1609.3,1621,1622.6,1605.6,2605.4,2616,2590.3,2527.9
2090.2,2231.1,2288.8,2257.5,2447.3,2650.6,2647.4,2549.6
1466.1,1784.9,2142.7,2153.2,2190.6,2278.4,2648.3,3019.3
2071.7,2186.9,2956.1,2926.2,3067.7,3096.4,3089.6,3138.7
1468.2,2099,2299.1,1744.7,2576.3,2681.7,2753.1,2713.4
1483.7,1624.6,2630.1,2620.9,2631,2660.4,2887.9,3009.5
1148.8,1591.4,1926.7,2460.3,2723.1,2622.2,2669.2,3013.4
1875.8,2135.7,2296.9,1836,2389.1,3008,3026.8,3396.8
1958.5,1933.1,2357.2,2475.6,2182.7,2111.1,2326,2878.9
1880,1830.8,1966.1,2066.2,2100.9,2307.2,2631.6,2694.6
1351.4,1615.5,1885.8,2127.8,2663.6,2926.3,3103.2,3262.1
1526.4,2461.2,2684.3,2712.7,2783.7,2824.7,2832,2857.8
1267.2,1573,1699.3,2478.4,2729,2719.2,2719.8,2764.7
1458.9,1465.8,2322.1,2447.6,2637.9,2649.1,2702.5,2733.3
1496,1814.4,1992.8,2196.5,2176.6,2423.6,2627,2705
1585.9,1761,1952.8,1738.2,1942,2976.5,2980.8,2988.7
1534.7,1858.9,1940.4,1966.2,2273,2523.9,2719.1,2797.6
1770.3,2018.3,2033.9,2120.9,2214.8,2340.1,2402.5,2486.1
1357.7,2163.3,2075,1993.4,2342.7,2388.2,2362,2383.4
1909.7,1921.7,2400.9,2517.6,2705.3,2877.5,2966.7,3025.6
1244.7,2078.8,2432.6,2345.6,2435.3,2790.8,2969.4,3031.3
2339,2687.9,2688.4,2667,2857.3,2894.8,2954.2,3665.7
1983.8,2072.7,2540.3,2657,2707.3,2714.2,2756.9,2827.6
1165.5,2199.7,2221,2199.2,2291.7,2351.7,2525.4,2744
1717.7,1788.4,1915.4,2035.9,2294.8,2313.2,2217.8,2317.9
1472.6,1581.2,2707.5,2744.3,2762.2,2821.6,2996.4,3358.2
1518.8,1620.7,1604,1635.6,2748,2837,2853.4,2847.7
1882,2319,2326.9,2544.7,2511.2,2538.1,2695.9,2892.3
1486.5,1564.4,2572.2,2677.5,2720.1,2747.1,2676.9,2817.5
1791.1,1817.8,2408.8,2518.7,2564.2,2568.2,2572,2584.9
1343.3,1595.6,1905.7,1785.7,1824.1,2036.3,2324.9,2525.8
1381.9,1789.8,2006.5,2282.6,2376.9,2430.4,2462,2527.3
1325.4,1314.5,2609,2767.1,2683.3,2829.1,2883.8,2974.2
2586.8,2613.8,2624.3,2675.4,2777,3029.6,3289.4,3420.2
2165,2125,2342.4,2625.4,2626.7,2587.4,2831.4,3006.6
1633.1,1886.5,1967.8,1892.9,2288.3,2313,2294.2,2310.3
1587.8,1939.2,2208.3,2157.4,2181.4,2407.1,2473,2619.5
1639.3,1681.7,2437.8,2437.9,2406.5,2441.7,2486.8,2550.3
1395.3,1369.5,2106,2465.4,2414.7,2445.6,2570.3,2766.8
1961.6,2002.7,2625.5,2648.9,2663.6,2656.6,2649.7,2634.1
1924.9,1935,2476.5,2502.2,2469.8,2445.6,2485.5,2616.9
2118.9,2515.1,2577.8,2617.5,2583.3,2363.4,2637.1,2778
2419.1,2515.9,2655.1,2810.4,2820.5,2861.1,2870.3,2823.6
1576.9,2167,1825.2,1935.2,2488.8,2523.3,2520.9,2511.4
1399.8,1516.6,1735.3,1638.7,2113.4,2319.6,2293.5,2280.4
1368.2,1389.2,1548.7,1510.4,2427.6,2431.5,2404.1,2402.1
1503.1,1747.4,2438,2239,2424.1,2616.3,2661.7,2725.2
1672.3,1893.8,1943.1,1947.9,2491.4,2527.4,2490.8,2499.1
1765.7,1873.7,1875.9,1846.9,2033.1,2189.3,2384.9,2428.6
1471.4,2384,2492.2,2502,2604,2768.9,2888.7,2962.3
1638.8,1895.8,2126.5,2490.8,2640.6,2636.6,2684.6,2805.9
1745.2,1878.4,1813.2,2489.8,2480.4,2454.8,2502.2,2795.1
2248.8,2370.7,2403.4,2852.6,2927.6,2948.8,3022.2,3073.6
1455.5,1797.5,2400,2471.8,2464.6,2443.2,2523.1,2761.3
1479.8,2393,2425.3,2416.7,2452.5,2530.1,2575.6,2561.6
1431.7,2469.3,2401.7,2527.5,2593.6,2649.4,2702.5,2770.5
1066.1,2326.7,2313.8,2304.8,2522,2673.4,2775,2876.1
1392.1,1469.4,2244.3,2173.9,2436.5,2474.2,2459.9,2515.7
1102.2,2325.3,2441.9,2413.1,2508.9,2642.5,2768.5,2832.1
1691.3,2258.2,2192.7,2188.1,2415,2929.7,3132.3,3221.8
1976.2,1892.1,2247.4,2341.7,2337.4,2414.1,2482.2,2532.8
1635.7,2087,2001.2,1953,2497.9,2592.1,2610.2,2602.7
1572.6,2255.7,2243.6,2065.2,2517.7,2792.4,2810.6,2785.9
1554.4,1855.5,2353.2,2349.2,2349.7,2545.8,2650.1,2726.2
1274.2,2236.5,1936.5,1976.5,2577.7,2615.7,2613.7,2612.9
1857.9,1933.7,2574.3,2464.8,2598.6,2622.4,2638.5,2638.8
2275.4,2291.7,2679.8,2750.9,2794.8,2810.2,2836.3,2863.4
1906.7,1662.1,2087.2,2480.4,2439,2531,2663.9,2703.5
2254.3,2543.8,2382.2,2334.5,2418.2,2663,2672.7,2657.7
2335.9,2300.9,2578.3,2607.2,2554,2636.7,2694.3,2759.1
2210.3,1931.1,2120.5,2421.5,2537.1,2538.2,2546.1,2573.6
2261.6,2406.1,2471.4,2483.1,2613.8,2645,2790.1,3078.5
2283,2402.9,2216.9,2430.7,2529.4,2557.9,2572.8,2594
1608.7,2412.3,2633,2664.9,2597.4,2655.6,2754.3,2876.4
2100.7,2108.4,2249.9,2376.8,2270.9,2321,2494.8,2759.9
2030.2,2322,2453.9,2439.5,2749.8,2803.1,2807.1,2845
1476.9,2026.9,2520.7,2466.1,2418.6,2825.8,2999.8,3058.1
2212.7,2735.3,2844.2,2857.5,2939.6,3028.7,3103.9,3170.3
1869,2521.9,2604.9,2480.1,2552.9,2865.2,2937.3,3018.7
1360.3,1731.4,1822.1,1851.1,1904.6,2313.9,2399.5,2525.4
1539.5,2083.1,2385.5,1843.3,1873.4,3376.3,3404.7,3403.5
1505.8,2063.3,2426,2437.5,2905.9,2925,2933.4,2986.7
1612.8,1768,1606.3,1861.2,2640.4,2681.9,2799.1,2933.6
1714.2,1950.8,2331.2,2114,2281.7,2994.7,3226.4,3264.8
1725.4,1857.4,2006,2056.3,2873.8,2983.9,3015.7,3036.5
1693.7,1838.4,2014.2,1740.6,2482.2,2933.4,2930.4,2935.5
1637,2190.9,2274.9,2311.2,2344.8,2553.1,2794.4,3083.6
1671.8,1711.1,2389,2388.2,2343.5,2461.2,2671.9,2896.9
1479.1,1844.7,2512.2,2542.7,2473.6,2481.9,2627,2984.3
2303.7,2521.2,2632.2,2696.7,2719.5,2714.8,2729.3,2923.9
2276.4,2317.3,2383.1,2752,2617.2,2650,3069.6,3099.5
2256.7,2440.4,2751.7,2756.1,2754.9,2806.2,2963.6,3081.8
2316.4,2490,2515.8,2506.1,2591.5,2576.4,2664.3,3264.8
2313.7,2423.8,2553.7,2713.4,2698,2630.3,2584.1,3002.1
1929.5,2097.5,2374,2412.7,2483.9,2877.9,3134.2,3241.7
1351,1910.9,2148.6,2139.9,2153.2,2345.8,2599.6,2872.6
1719.5,1654.8,2080.4,2101.4,1902.8,2346.5,3188.3,3200.4
2063.4,2437.5,2578.9,2568.8,2635.9,2950.4,3073.6,3034.5
2200.5,2267.6,2233.9,2349.6,2307.3,2419.5,2638.9,3008.7
1857.4,2394.2,2231.7,2468.9,2819.2,3011.9,3039.1,3058.6
1995.4,2300.2,2366.5,2323.6,2541.1,3312.8,3410.7,3510.3
1863.6,2147.4,2571,2673.1,2914.2,3056.2,3084.5,3207
1625.2,2358.2,2430.8,2401.4,2429.9,2578.7,3057.4,3115.9
1559.3,1894.1,2058.6,2315.6,2448.9,2586.1,2895,2948.1
1457,2118,2209.7,2078,2034.4,2477.6,3137.3,3255.9
1734.1,2081.7,2496.6,2415.2,2622.4,2825.8,3010.9,3006.7
1921.1,2036.7,2137.4,2275.1,2389.2,2490.1,2512.3,2570.5
1810.3,2118.6,2258.6,2755.1,2806.3,2937.4,2990,2955.6
1583.1,2036.4,2559.5,2643,2381,2979.4,3280.7,3320.1
1786.1,2507.2,2452,2433,2740.9,2766.6,2798.3,2828.1
2156.6,2325.2,2415.7,2554.4,2583.1,2947.7,3229.9,3500.3
2230.1,2426.4,2445,2490.2,2558.6,2609.4,2643.7,2678
1786.4,2255.7,2549.8,2536.2,2577.7,2563.1,2569.4,2598.6
2174.4,2468.6,2493.4,2400.3,2457,2719.2,3127.3,3198.5
2470.7,2343.2,2568.6,2560.1,2575.1,2617.5,2663.4,2740.6
1563.8,2166.7,2542.6,2654.6,2709.8,2799.1,2928.3,3113.8
1469.7,1666.1,2068.4,2349.4,2462.5,2465.8,2644.6,2752.1
1576,2001.8,2579.7,2620.4,2644.5,2735.8,2776.2,2894.6
1597.3,1702.8,2448.8,2435.4,2389.6,2515.6,2865.9,3032.9
1490.4,2140.3,2388.2,2410.7,2634.6,2629.9,2655.5,2730
1285.8,2376.5,2400.7,2377.5,2405,2497.7,2553,2690
