feature,rho_perceived,p_perceived,ci_lo_perceived,ci_hi_perceived,n_perceived,q_perceived,hit_perceived,rho_actual,p_actual,ci_lo_actual,ci_hi_actual,n_actual,q_actual,hit_actual
AY_z2,0.5418437749149967,4.825833967499295e-05,0.32535228801890637,0.718717191019175,50,0.0025341256885027122,True,0.3041080314153282,0.0317837946365792,0.005234561263350613,0.575245672395276,50,0.2092433146908131,False
S_cog_singleton,0.5343515192079643,6.415508072158766e-05,0.27339307984345845,0.7057808406134576,50,0.0025341256885027122,True,0.3423373048136158,0.014953946444299015,0.06665367308848406,0.5736207447325254,50,0.1531069267700315,False
S_peak,0.5034699780565424,0.00019379965152822008,0.23803906841969802,0.7156433764586019,50,0.0051033908235764616,True,0.3296957522556163,0.019380623641776135,0.04615191594209796,0.5749436615530001,50,0.1531069267700315,False
S_cog,0.48589199351312024,0.0003473997512129901,0.22704107563561135,0.69462170440154,50,0.0068611450864565545,True,0.33050806085372064,0.019066155414726074,0.04217588649748401,0.5692243600552551,50,0.1531069267700315,False
Z_peak,0.45750787093070905,0.0008364920243211597,0.20247489930815887,0.6684582579062001,50,0.013216573984274322,True,0.3551311652337598,0.011382565922700113,0.08551180916753606,0.5856660945178715,50,0.1531069267700315,False
Z_cog,0.4173570647058431,0.002566032738596353,0.16888930664132354,0.616658789912276,50,0.03378609772485198,True,0.33162498517611416,0.01864082180450417,0.052428576207660046,0.566003076075153,50,0.1531069267700315,False
AE_z2,-0.3944960793433597,0.004583669170564861,-0.606452471666043,-0.1280015453059553,50,0.05172998063923201,True,-0.10818935141002746,0.4545421396519306,-0.3618121563127078,0.16452506299892503,50,0.6886845880166015,False
AO_z1,-0.43604753855117495,0.011190057160073728,-0.7033231077105825,-0.0930832445430738,33,0.08840145156458246,True,-0.3472940354523938,0.04767543014426783,-0.6370941018571241,-0.01106951670337774,33,0.2897199216459353,False
EY_z2,0.3593401102565153,0.010380662064853241,0.0881058830604587,0.606427075754239,50,0.08840145156458246,True,0.06990930872435844,0.6295066813686102,-0.23217163108920327,0.34968254822194156,50,0.802113352066455,False
AW_z1,-0.36395072915315063,0.009371244826055215,-0.6072968586759567,-0.09426250235800912,50,0.08840145156458246,True,-0.09554779885202802,0.5092222986196663,-0.37391190661139556,0.18549296896456868,50,0.7202390876882035,False
IH_z1,0.31534712161778666,0.025701171766602512,0.058761060043292186,0.5260269564554076,50,0.18458114268741804,False,0.15027709064931077,0.29756344186346195,-0.13780448232206108,0.40710186133291815,50,0.5876877976803374,False
HH_dur,0.36668012040714665,0.04246028419035393,0.027716923365202945,0.6319307490980127,31,0.26153121419467495,False,0.23354200799451216,0.2060707227572903,-0.15670781884426008,0.5546224352301536,31,0.5160842397733241,False
IY_z1,0.2873472172767617,0.043036782082668035,0.01792177842199028,0.5202104288304226,50,0.26153121419467495,False,0.18535866822994382,0.1974905896173828,-0.13111446360397522,0.45752124528565813,50,0.5160842397733241,False
UW_z1,0.2693850144919533,0.05851789272975092,0.005614152594115154,0.509588685277579,50,0.33020810897502306,False,0.2452156580527605,0.08608981545223603,-0.03945015947338432,0.4982289473527633,50,0.3778386344848137,False
SH_peak,0.2512307025864517,0.07842740589630072,-0.025949670387248297,0.504405818359605,50,0.3442091703226532,False,0.26105567571579597,0.06707820743226098,-0.03896139445333784,0.5294004162375081,50,0.35266594269736623,False
EH_z2,-0.2527675755519968,0.07655852350536496,-0.49822361913162755,0.010374225509258211,50,0.3442091703226532,False,-0.018987713480689943,0.8958708479666788,-0.2710173602731842,0.22096434704070986,50,0.9588331844254543,False
AO_z2,-0.3228557503613185,0.06686553160864724,-0.6063161678720516,0.030783638310474905,33,0.3442091703226532,False,-0.20094446980283026,0.2621544827730779,-0.5268657621416705,0.17839278196961925,33,0.5752834483075877,False
HH_sd,-0.3265100482161185,0.07301752693576981,-0.5949166880777155,0.03521714130212767,31,0.3442091703226532,False,-0.22727012440644812,0.21886419302793186,-0.5557540685876651,0.14945758376486684,31,0.5160842397733241,False
AY_z1,-0.2194846703919106,0.12565115770768367,-0.4818782359402186,0.06694071405966207,50,0.4744910713421581,False,-0.15322170931743914,0.2880875926155184,-0.4346133518876286,0.12657567706831918,50,0.5876877976803374,False
SH_cog,0.22495978033166503,0.11625702453950766,-0.06279271916862862,0.4908961735251294,50,0.4744910713421581,False,0.401280447463565,0.0038747787971848756,0.12447927491865572,0.6187251950403978,50,0.1531069267700315,False
V_cog,0.21588262437891423,0.13213675404465164,-0.06606813082107896,0.4476784871022951,50,0.4744910713421581,False,0.3122818866837536,0.02725439600358611,0.011314975993700278,0.5583935134653514,50,0.19573611675302752,False
S_skew,-0.21833201566775176,0.12769986379828732,-0.49576269959470526,0.07213079158750174,50,0.4744910713421581,False,-0.15139401497170432,0.2939456852582397,-0.4056332074348734,0.12681858892460804,50,0.5876877976803374,False
V_skew,-0.20651730474512375,0.1501713229586848,-0.44419650912445363,0.060337661621424975,50,0.4819340206996301,False,-0.3382249925357123,0.016288147442791428,-0.597156882785514,-0.05652719737143906,50,0.1531069267700315,False
AE_z1,0.21098384180123922,0.14135597191118393,-0.058438203407601315,0.4680656433649291,50,0.4819340206996301,False,0.21018484975950896,0.14290393303426613,-0.09812953868466164,0.48899487714216855,50,0.44722409718924294,False
EY_rate,0.20536465002096493,0.15251076604418673,-0.13550400510522928,0.5166732373742822,50,0.4819340206996301,False,0.11966321035825186,0.4078260322613856,-0.17958091808174836,0.40398682148988063,50,0.6886845880166015,False
V_kurt,-0.19686382143029355,0.1705991862297243,-0.41480011463630695,0.047315227515189524,50,0.4991605819314156,False,-0.2651172187063179,0.06278714631735827,-0.5283475650706787,0.01603385245475688,50,0.35266594269736623,False
DH_peak,0.1995053218398242,0.16481940454503485,-0.07067305425488561,0.43988931157887656,50,0.4991605819314156,False,0.10961089145671013,0.44860072386712235,-0.18961006801444796,0.39120781707274854,50,0.6886845880166015,False
Z_skew,-0.1904281658870734,0.1852934217762486,-0.4565462924172286,0.10522222133713414,50,0.5227921542972729,False,-0.18221097241228934,0.20534434241148686,-0.4347134467626837,0.08932994620386386,50,0.5160842397733241,False
F_peak,-0.18399251034385328,0.20087270197818577,-0.45613988371473685,0.08844579358190185,50,0.5472049467681612,False,-0.03767081123709074,0.7950738369841446,-0.32718550877991825,0.2492939697769572,50,0.9161850390706229,False
Z_dur,-0.18092310835706932,0.20862018963412243,-0.4457106464127547,0.12489619166139788,50,0.5493664993698557,False,0.1114158762419187,0.44111859598563374,-0.1772763855832289,0.4017870163243902,50,0.6886845880166015,False
AA_z2,0.15949859745547815,0.26855313391516306,-0.1461298175090816,0.4434529972795804,50,0.5888085802440475,False,0.18139866381418493,0.2074063095084759,-0.11152692599042204,0.44558305981112445,50,0.5160842397733241,False
DH_dur,0.16017482515816997,0.2665025166698681,-0.1399499049621707,0.43864271298619223,50,0.5888085802440475,False,0.09321464970615753,0.5196661771927544,-0.18348804447464914,0.37042126710270246,50,0.7202390876882035,False
F_sd,0.16497370739523257,0.2522502480487772,-0.12579764217045922,0.4222291949295014,50,0.5888085802440475,False,0.12174475114089434,0.3996586847488597,-0.15938918290766788,0.40121832768014126,50,0.6886845880166015,False
V_sd,0.1571452607269872,0.2757711072029083,-0.1325281619610796,0.41635259709901934,50,0.5888085802440475,False,0.1776925058353337,0.21699853976283234,-0.0827776957938086,0.43089448549742465,50,0.5160842397733241,False
AY_trajlen,0.16871983524874878,0.24148869493166375,-0.11226070755618202,0.4289037866536472,50,0.5888085802440475,False,0.0016246171962087652,0.9910660986802209,-0.28162942008335023,0.2978730765951912,50,0.9910660986802209,False
EY_trajlen,0.16045914305894385,0.26564346452663773,-0.15221337257718248,0.46290041786716996,50,0.5888085802440475,False,0.12540013983236406,0.38554883980047927,-0.16194181037305475,0.4013168859695378,50,0.6886845880166015,False
DH_cog,0.1637249981107272,0.25590826664787125,-0.1205191260419939,0.4217113875940465,50,0.5888085802440475,False,0.3602588632592936,0.01017236045360186,0.06693456994760709,0.6006725439072599,50,0.1531069267700315,False
v_h1h2,0.15267872367087174,0.2898199422513259,-0.15132172040735972,0.4429403258995906,50,0.6025204062593355,False,0.21460177776170158,0.1345024708654088,-0.06534473213173204,0.4723368032707787,50,0.44722409718924294,False
SH_dur,-0.1424008857137888,0.32388912669403747,-0.37991972016041886,0.11244306345984016,50,0.6560831027904861,False,0.05442467607299364,0.7073739451876424,-0.2261265951700779,0.3311827500552899,50,0.8467051768155114,False
F_dur,0.13745737619270837,0.34113995016272125,-0.14991735437177062,0.4051994472602385,50,0.6737514015713745,False,0.20800676462207374,0.14718767755595338,-0.09747488279218884,0.4766138065675022,50,0.44722409718924294,False
AH_z2,0.13034603839029438,0.3669341095522721,-0.1461456577633956,0.39867262224796796,50,0.7070193818202316,False,0.0783370104296914,0.588681230507492,-0.20018366387517994,0.3658710582208961,50,0.7718315649869947,False
front_f2,-0.12098071875650387,0.40264539073797534,-0.39825547852238313,0.18219144971515,50,0.7212658120245212,False,0.07681393180824567,0.5959712084076794,-0.20272657353731338,0.37065053566942086,50,0.7718315649869947,False
OW_z1,-0.11661023626073498,0.4199775614319997,-0.39781723475009073,0.18569490193526111,50,0.7212658120245212,False,0.13849861597679722,0.3374599275367952,-0.15404833175008611,0.4151787614988956,50,0.6502276652538249,False
