feature,group,family,rho_perceived,rho_actual,r_perc_actual,delta,ci_lo,ci_hi,boot_p,q_bh,abs_delta,abs_ci_lo,abs_ci_hi,williams_t,williams_p,diverges,n
S_cog,A,confirmatory,0.4858919935131203,0.33050806085372064,0.5481465905038844,0.15538393265939965,-0.12683046325398492,0.42589252738044864,0.2612,0.9420666666666666,0.15538393265939965,-0.12729977437457698,0.4171337746091336,1.2782088812147994,0.2074523914842509,False,50
S_skew,A,confirmatory,-0.2183320156677518,-0.1513940149717043,0.5481465905038844,-0.0669380006960475,-0.35037814089384356,0.22474993787478786,0.6428,0.9810666666666666,0.0669380006960475,-0.20119202540867143,0.3182346879763086,-0.4944802850654587,0.6232705120201012,False,50
S_dur,A,confirmatory,-0.01671349350030304,0.08910009935457446,0.5481465905038844,-0.1058135928548775,-0.37351765343488574,0.14983841028782782,0.4348,0.9420666666666666,-0.07238660585427141,-0.253061095031896,0.2247050454771467,-0.7684894824190949,0.44604084446966674,False,50
vowel_space_area,A,confirmatory,-0.03698100573342914,0.10641242635167411,0.5481465905038844,-0.14339343208510325,-0.44774963372295973,0.1650563222818045,0.3472,0.9420666666666666,-0.06943142061824498,-0.3079876815908709,0.25036789134269155,-1.0468667667248954,0.3005150788142075,False,50
front_f2,A,confirmatory,-0.1209807187565039,0.07681393180824568,0.5481465905038844,-0.1977946505647496,-0.4316621678425286,0.0457665277975186,0.114,0.9420666666666666,0.04416678694825822,-0.2834673065286102,0.31408637484036117,-1.4588004458769446,0.15127115770008578,False,50
diph_dynamism,A,confirmatory,0.09485387834223707,-0.021780024286673756,0.5481465905038844,0.11663390262891082,-0.12772161899375611,0.385828469984261,0.396,0.9420666666666666,0.07307385405556333,-0.2191498859153544,0.280109729607143,0.8482334888936344,0.4006073256610875,False,50
diph_duration,A,confirmatory,0.014888456853718226,0.05285082816416639,0.5481465905038844,-0.03796237131044816,-0.29464090515467983,0.20602391605176057,0.7588,0.9864400000000001,-0.03796237131044816,-0.20918568603696744,0.20746802635929434,-0.274183804753905,0.7851448803690949,False,50
F0_range,B,confirmatory,0.276252915556733,0.27516953760785956,0.5481465905038844,0.0010833779488734208,-0.2839109338169843,0.2885902248721145,0.9976,0.9976,0.0010833779488734208,-0.27503166699874826,0.2761462472250775,0.008205527601151492,0.9934877405879414,False,50
F0_stddev,B,confirmatory,0.13961530346373832,0.1505817063735999,0.5481465905038844,-0.010966402909861589,-0.30891178046626067,0.2961384881743903,0.9396,0.9976,-0.010966402909861589,-0.2603880561475148,0.2573370803850207,-0.08013455740925922,0.9364704862049417,False,50
F0_mean,B,confirmatory,0.0608025366993783,-0.05137851883010219,0.5481465905038844,0.11218105552948049,-0.16704290805207556,0.39163500357094516,0.4212,0.9420666666666666,0.00942401786927611,-0.24190258568411432,0.25946235919190386,0.8147152010368663,0.41934450641380505,False,50
v_cpps,B,confirmatory,-0.11829119106679996,-0.0511754416805761,0.5481465905038844,-0.06711574938622386,-0.3299052001758655,0.20323804564793338,0.62,0.9810666666666666,0.06711574938622386,-0.18268579096006887,0.26256708252795347,-0.48739193427245125,0.6282462930541812,False,50
HNR,B,confirmatory,-0.12698412877816448,-0.10067549687756192,0.5481465905038844,-0.026308631900602564,-0.27962868403389435,0.21776864707965296,0.8532,0.9976,0.026308631900602564,-0.18130746100729378,0.25608869240168974,-0.19133180351950274,0.8490898171781438,False,50
v_h1h2,B,confirmatory,0.15267872367087174,0.21460177776170156,0.5481465905038844,-0.06192305409082982,-0.34595614025422583,0.2223240713081355,0.6792,0.9810666666666666,-0.06192305409082982,-0.29562303591939565,0.21800878755004843,-0.457130017635871,0.6496835804122396,False,50
AY_z2,explore,exploratory,0.5418437749149968,0.3041080314153282,0.5481465905038844,0.23773574349966858,-0.07443399015176172,0.5362231332892773,0.138,0.24840000000000004,0.23773574349966858,-0.07443399015176172,0.5224289153201221,2.0238277847883457,0.04869371685411492,False,50
