head,layer,n_speakers,s_contrast_mean,s_contrast_median,frac_speakers_positive,wilcoxon_p_greater,ridge_enet_frame_r
ridge,6,50,-2.43937175716855,-2.4085854439443892,0.02,0.9999999999999938,0.4544932929905222
enet,6,50,0.30010180899182975,0.30904658356102427,0.7,0.00032286277372417516,0.4544932929905222
