pc,sigma,var_frac,cum_var,rel_axis_len,boot_stability,perceived_spearman,perceived_p
1,61.96851709985147,0.10000252894673393,0.10000252894673393,1.0,0.6234966189679942,0.17313834502469097,0.22920320695797453
2,59.15582334437185,0.09113050613412836,0.1911330350808623,1.0475471998607084,0.7485583279137832,-0.0776120847600279,0.5921460022693988
3,52.530065926092504,0.07185957880728187,0.26299261388814416,1.179677124088107,0.7507431147575229,-0.062435464225269965,0.666657685781308
4,49.90405235640427,0.0648545427497588,0.327847156637903,1.2417532078815028,0.7922722154091381,-0.0024013640086642295,0.9867950217401442
5,44.162321348354936,0.05078933924154598,0.378636495879449,1.4031988176309897,0.7757111631522383,0.4263861933784206,0.0020177613147160877
6,42.18406708514707,0.0463410290584424,0.42497752493789137,1.469002905167256,0.7836685138880427,0.23336455436198983,0.10288876275842578
7,40.51615500383986,0.04274892750768692,0.4677264524455783,1.529476750545023,0.7894646323792114,-0.27389957882824206,0.05425913116210621
8,39.03693338935335,0.03968443146991693,0.5074108839154953,1.587433020974755,0.7968511404379712,-0.17357059054625054,0.2280249332142251
9,36.693859220779665,0.03506352355506241,0.5424744074705576,1.6887980282204498,0.8042914499953518,0.3266815597386818,0.020586130563799643
10,35.69576328346116,0.03318196657262744,0.575656374043185,1.736018826877508,0.8123700843933318,-0.2938309001001551,0.03834851522576122
11,32.161025565165815,0.02693571784904294,0.602592091892228,1.926820305350296,0.8067021218837226,0.008116610349285095,0.9553877343708422
12,31.493194500479493,0.025828679683464365,0.6284207715756923,1.9676796235741654,0.8066752560534038,-0.19316572085695063,0.17893587545703435
13,30.746731717857916,0.024618789357550255,0.6530395609332426,2.0154505418167656,0.8085940489564859,-0.035348078207537464,0.8074609655153245
14,28.70206983520167,0.02145335450064566,0.6744929154338882,2.159026072184179,0.8071439624882275,-0.04898782577675029,0.7354854048495107
15,28.04721128890091,0.02048557450740236,0.6949784899412906,2.2094359564501227,0.8049100704348475,0.314722766975534,0.026011386872701683
16,27.383559912859138,0.019527587330759006,0.7145060772720496,2.262982508375453,,0.059217636453659905,0.6829067651459862
17,26.113620077564452,0.017758363373837946,0.7322644406458876,2.3730343367096696,,-0.07569099355309651,0.601371352868354
18,25.989138480705822,0.01758946143149229,0.7498539020773799,2.384400588955902,,0.07026391089351536,0.6277654635119017
19,25.54835474851881,0.016997875790525092,0.766851777867905,2.425538462645785,,-0.06041831845799202,0.6768265345526147
20,24.896805589934022,0.016141951265181507,0.7829937291330865,2.4890147804707055,,-0.207237713947723,0.14872269070606575
21,23.96392168459695,0.014954936002747287,0.7979486651358338,2.5859088472853067,,0.16598228027887155,0.24932158488227385
22,23.877833466468736,0.014847680496156623,0.8127963456319904,2.5952319831224586,,-0.08164637629458381,0.5729806081888607
23,22.70143538754559,0.013420707517054872,0.8262170531490453,2.729718013066632,,-0.023149149043523172,0.8732195475975754
24,22.20777889525174,0.012843370923447615,0.8390604240724928,2.7903968871511506,,0.03280263235835338,0.8210896090077523
25,21.722507034567926,0.012288211246532628,0.8513486353190255,2.852733204378224,,0.301227101246841,0.03352218565799787
26,20.39533685417978,0.010832545973840207,0.8621811812928657,3.038366933721507,,-0.04778714377241817,0.7417416130600313
27,20.23278452735863,0.010660561711732361,0.872841743004598,3.0627774944204083,,-0.03630862381100315,0.802332521442688
28,19.690010429219942,0.010096263299551824,0.8829380063041499,3.1472059053808468,,-0.07189683841940704,0.6197732206059585
29,19.342069297574632,0.009742594914379666,0.8926806012185295,3.203820446844429,,0.07367384778581856,0.6111249686409264
30,18.41797765568987,0.008833903669934669,0.9015145048884642,3.364566851926195,,-0.15964267929599799,0.2681153377451946
31,18.167381036963448,0.00859514931620362,0.9101096542046678,3.410976902712064,,0.020411594073645952,0.8881102775205356
32,17.93203949678527,0.008373907305059032,0.9184835615097269,3.4557428401248367,,0.05355041739321232,0.7118694860502504
