hand_feature,ridge_vowel_rho,ridge_s_rho,enet_vowel_rho,enet_s_rho,ridge_vowel_partial_vs_Scog
AY_z2,0.5052100840336134,0.506938775510204,0.5186554621848739,0.41503001200480194,0.4355880388105373
AE_z2,-0.49656662665066026,-0.40581032412965184,-0.37392557022809125,-0.42837935174069625,-0.4463973936403784
S_cog,0.4725570228091236,0.5179831932773109,0.30103241296518607,0.3891956782713085,
AO_z1,-0.4197860962566845,-0.3372326203208556,-0.2747326203208556,-0.1801470588235294,-0.23974709801322497
AW_z1,-0.3769987995198079,-0.28259303721488593,-0.24878751500600238,-0.36470588235294116,-0.380175161968655
front_f2,-0.32206482593037217,-0.07092436974789915,-0.3097719087635054,-0.19692677070828332,-0.3627952398137676
EY_z2,0.2745258103241296,0.31486194477791113,0.3041056422569028,0.20806722689075627,0.25277807755863935
vowel_space_area,-0.20845138055222087,-0.005426170468187274,-0.19654261704681872,-0.08629051620648259,-0.33167658942657724
AY_trajlen,0.1119327731092437,0.23006002400960382,0.15563025210084033,0.3153421368547419,0.24143494778901223
v_cpps,-0.07966386554621849,-0.23409363745498196,-0.1787755102040816,-0.19663865546218487,-0.05890297049064132
OW_z2,0.07361344537815126,0.04076830732292917,0.022521008403361343,0.06343337334933974,0.04468944742076719
IY_z2,0.07054021608643457,-0.049315726290516206,0.10280912364945978,-0.0803361344537815,-0.07223641254089411
v_h1h2,0.060840336134453776,0.2687635054021609,0.06919567827130851,0.13267707082833133,0.028357539480673995
EY_trajlen,0.044801920768307316,0.13939975990396156,-0.011188475390156062,0.033661464585834334,0.12215618158129268
