target,feature_set,n_features,n,cv_spearman,cv_spearman_raw,collapsed,zeroed_folds,cv_r2,cv_mae,perm_p,null_mean,null_p95,null_collapse_frac
perceived,segmental-conf,13,50,0.4560190252453372,0.4560190252453372,False,,0.1247462222602454,0.6740453463538831,0.003996003996003996,-0.6625066381864231,0.22504382807196824,0.343
perceived,eGeMAPS-88,88,50,,-0.9999759831882284,True,,-0.0412328196584754,0.7968056787932565,0.9820179820179821,-0.6477337456190322,0.2554426950576486,0.291
perceived,combined,169,50,0.3603486831401543,0.3603486831401543,False,,-5.779520118046983,0.9870782986720534,0.025974025974025976,-0.6241510869930412,0.2562831724606812,0.253
actual,segmental-conf,13,50,0.1291062978112153,0.1291062978112153,False,,-0.0275694159789134,1.5401335048151372,0.10589410589410589,-0.6326189240085172,0.239603113332733,0.226
actual,eGeMAPS-88,88,50,,-1.0,True,,-0.0412328196584752,1.6032653061224489,1.0,-0.6118643303587881,0.25205681952742065,0.192
actual,combined,169,50,-0.1885697594971953,-0.1885697594971953,False,,-0.0817399812172914,1.6105474324927045,0.25374625374625376,-0.6001143386321123,0.2763956158981229,0.152
