head,region,spearman_vs_perceived
ridge,full,0.9986792639232798
ridge,vowel,0.9091083864001042
ridge,s,0.7999423785662282
enet,full,0.9437840826852156
enet,vowel,0.7918737954971162
enet,s,0.7568619082507918
