feature,family,lasso_perceived,enet_perceived,lasso_actual,enet_actual
S_dur,sibilant,0.13,0.141,0.005,0.011
diph_duration,diphthong,0.128,0.15,0.005,0.016
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,eGeMAPS,0.125,0.153,0.006,0.011
logRelF0-H1-A3_sma3nz_amean,eGeMAPS,0.124,0.154,0.071,0.124
DH_skew,fricative,0.122,0.131,0.017,0.041
S_kurt,sibilant,0.12,0.172,0.0,0.0
vowel_space_area,vowel,0.119,0.158,0.001,0.005
SH_dur,sibilant,0.118,0.134,0.003,0.005
equivalentSoundLevel_dBp,eGeMAPS,0.118,0.158,0.001,0.003
F_dur,fricative,0.114,0.113,0.118,0.181
AO_z2,vowel,0.113,0.121,0.006,0.023
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,eGeMAPS,0.111,0.127,0.007,0.018
F_sd,fricative,0.107,0.129,0.03,0.049
alphaRatioV_sma3nz_amean,eGeMAPS,0.106,0.13,0.008,0.017
DH_dur,fricative,0.106,0.1,0.011,0.018
V_kurt,fricative,0.094,0.113,0.001,0.001
front_f2,vowel,0.093,0.119,0.001,0.001
mfcc3_sma3_stddevNorm,eGeMAPS,0.093,0.172,0.001,0.01
jitterLocal_sma3nz_stddevNorm,eGeMAPS,0.092,0.107,0.006,0.016
SH_cog,sibilant,0.091,0.105,0.46,0.602
Z_sd,sibilant,0.09,0.098,0.002,0.004
AY_rate,diphthong,0.087,0.087,0.015,0.034
StddevUnvoicedSegmentLength,eGeMAPS,0.087,0.106,0.01,0.015
S_sd,sibilant,0.086,0.099,0.001,0.003
F2bandwidth_sma3nz_stddevNorm,eGeMAPS,0.084,0.09,0.0,0.003
spectralFlux_sma3_stddevNorm,eGeMAPS,0.081,0.118,0.004,0.008
Z_peak,sibilant,0.079,0.161,0.126,0.286
loudness_sma3_stddevFallingSlope,eGeMAPS,0.077,0.116,0.0,0.0
shimmerLocaldB_sma3nz_amean,eGeMAPS,0.077,0.085,0.002,0.004
EY_trajlen,diphthong,0.075,0.094,0.007,0.014
HH_cog,fricative,0.07,0.084,0.002,0.003
mfcc3V_sma3nz_amean,eGeMAPS,0.067,0.107,0.014,0.031
V_sd,fricative,0.066,0.096,0.001,0.002
OW_z2,vowel,0.065,0.065,0.0,0.004
UW_z2,vowel,0.063,0.077,0.154,0.275
shimmerLocaldB_sma3nz_stddevNorm,eGeMAPS,0.062,0.057,0.013,0.022
AY_trajlen,diphthong,0.06,0.059,0.001,0.003
MeanUnvoicedSegmentLength,eGeMAPS,0.059,0.065,0.0,0.002
v_cpps,voice-quality,0.058,0.062,0.0,0.0
HNRdBACF_sma3nz_amean,eGeMAPS,0.058,0.085,0.001,0.006
F2bandwidth_sma3nz_amean,eGeMAPS,0.057,0.073,0.008,0.015
F1amplitudeLogRelF0_sma3nz_stddevNorm,eGeMAPS,0.055,0.062,0.0,0.002
hammarbergIndexUV_sma3nz_amean,eGeMAPS,0.054,0.042,0.025,0.048
Z_cog,sibilant,0.053,0.073,0.097,0.231
logRelF0-H1-A3_sma3nz_stddevNorm,eGeMAPS,0.052,0.042,0.02,0.032
diph_dynamism,diphthong,0.051,0.084,0.0,0.003
F3frequency_sma3nz_amean,eGeMAPS,0.051,0.078,0.0,0.002
mfcc2V_sma3nz_amean,eGeMAPS,0.05,0.082,0.0,0.0
mfcc1V_sma3nz_stddevNorm,eGeMAPS,0.049,0.094,0.002,0.005
F1frequency_sma3nz_amean,eGeMAPS,0.049,0.063,0.005,0.011
DH_kurt,fricative,0.048,0.054,0.004,0.011
loudness_sma3_meanRisingSlope,eGeMAPS,0.047,0.063,0.007,0.028
DH_cog,fricative,0.046,0.066,0.579,0.703
F2frequency_sma3nz_amean,eGeMAPS,0.037,0.041,0.0,0.0
S_peak,sibilant,0.037,0.139,0.075,0.206
loudness_sma3_stddevNorm,eGeMAPS,0.036,0.055,0.009,0.017
S_cog,sibilant,0.032,0.186,0.068,0.235
spectralFluxUV_sma3nz_amean,eGeMAPS,0.032,0.035,0.0,0.002
S_skew,sibilant,0.031,0.024,0.0,0.0
F_cog,fricative,0.031,0.043,0.005,0.01
SH_skew,sibilant,0.029,0.035,0.008,0.029
mfcc3_sma3_amean,eGeMAPS,0.028,0.048,0.006,0.024
F1bandwidth_sma3nz_amean,eGeMAPS,0.027,0.026,0.0,0.0
HH_kurt,fricative,0.023,0.03,0.002,0.011
mfcc4V_sma3nz_amean,eGeMAPS,0.02,0.021,0.0,0.002
spectralFluxV_sma3nz_amean,eGeMAPS,0.02,0.021,0.001,0.01
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,eGeMAPS,0.02,0.021,0.002,0.003
loudness_sma3_stddevRisingSlope,eGeMAPS,0.018,0.021,0.027,0.048
mfcc2_sma3_amean,eGeMAPS,0.018,0.025,0.0,0.002
F0semitoneFrom27.5Hz_sma3nz_amean,eGeMAPS,0.017,0.022,0.005,0.012
slopeUV0-500_sma3nz_amean,eGeMAPS,0.017,0.033,0.0,0.0
loudness_sma3_percentile50.0,eGeMAPS,0.017,0.015,0.001,0.006
F1amplitudeLogRelF0_sma3nz_amean,eGeMAPS,0.015,0.015,0.0,0.0
F3amplitudeLogRelF0_sma3nz_amean,eGeMAPS,0.012,0.014,0.0,0.0
mfcc1_sma3_stddevNorm,eGeMAPS,0.011,0.013,0.016,0.044
spectralFlux_sma3_amean,eGeMAPS,0.011,0.018,0.006,0.01
hammarbergIndexV_sma3nz_stddevNorm,eGeMAPS,0.011,0.012,0.0,0.0
HH_skew,fricative,0.01,0.009,0.123,0.245
DH_sd,fricative,0.009,0.009,0.013,0.054
hammarbergIndexV_sma3nz_amean,eGeMAPS,0.008,0.007,0.003,0.009
loudness_sma3_pctlrange0-2,eGeMAPS,0.005,0.011,0.002,0.009
mfcc4_sma3_amean,eGeMAPS,0.005,0.015,0.0,0.001
slopeV0-500_sma3nz_amean,eGeMAPS,0.005,0.01,0.0,0.0
alphaRatioUV_sma3nz_amean,eGeMAPS,0.004,0.011,0.0,0.009
Z_kurt,sibilant,0.003,0.004,0.005,0.018
F2amplitudeLogRelF0_sma3nz_amean,eGeMAPS,0.003,0.006,0.0,0.0
loudness_sma3_meanFallingSlope,eGeMAPS,0.001,0.002,0.0,0.002
Z_skew,sibilant,0.001,0.003,0.0,0.0
loudness_sma3_percentile80.0,eGeMAPS,0.0,0.002,0.005,0.025
loudness_sma3_amean,eGeMAPS,0.0,0.0,0.001,0.015
