model,target,best_layer,best_fw_p,wavlm_cv_rho,scog_cv_rho,pred_vs_scog_pearson,pred_vs_scog_r2,pred_vs_scog_spearman,delta_rho,collapsed,verdict
ridge,perceived,6,0.0009990009990009,0.726508667181276,0.4445405052839222,0.3284306965117199,0.1078667224111735,0.2634813925570228,0.2819681618973538,False,BEATS /s/: predicts perceived better than S_cog alone.
enet,perceived,5,0.0033222591362126,0.6702206948181866,0.4489109877796911,0.2971270370243406,0.0882844761308638,0.2600240096038415,0.2213097070384954,False,BEATS /s/: predicts perceived better than S_cog alone.
ridge,actual,10,0.1968031968031968,0.2641018329586874,0.2701433781570887,0.2350784828849147,0.0552618931154731,0.2233373349339735,-0.0060415451984013,False,NO SIGNAL: best layer does not beat the permutation null (fw p=0.197).
enet,actual,10,0.1428571428571428,0.3789419610156945,0.2700926088697072,0.2307053483567945,0.0532249577604298,0.2232412965186074,0.1088493521459872,False,NO SIGNAL: best layer does not beat the permutation null (fw p=0.143).
