head,layer,window_s,ig_steps,baseline,alpha_schedule,alpha_power,n_speakers,s_contrast_mean,s_contrast_median,frac_speakers_positive,wilcoxon_p_greater,ridge_enet_frame_r,completeness_relerr_robust_mean,completeness_relerr_robust_max,completeness_relerr_raw_max,completeness_abserr_max,n_small_signal,completeness_ok,path_frac_first_half
ridge,6,10.0,128,noise,linear,,50,-3.8928014e-05,-3.7920483e-05,0.02,1.0,0.59861,0.0009731800637373239,0.008686535576805925,0.019601833,0.046643257,0,True,0.5571407433303643
enet,6,10.0,128,noise,linear,,50,-3.745626e-05,-3.610312e-05,0.08,1.0,0.59861,0.008915277580832466,0.04999619224061408,1.5907054,0.030574441,3,True,0.6093690263509283
