timestamp,note,k,C,model,accuracy,n_correct,n_total,classes,confusion_matrix,elapsed_s
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",15,0.7,3-class: straight / bi / gay,0.22,11,50,"[0, 1, 2]","[[8, 8, 7], [7, 3, 3], [8, 6, 0]]",0.06
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",15,0.7,Ordinal 1-5: attraction scale,0.2,10,50,"[1, 2, 3, 4, 5]","[[10, 2, 1, 1, 8], [2, 0, 1, 1, 1], [3, 2, 0, 0, 0], [1, 2, 2, 0, 0], [4, 6, 3, 0, 0]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",15,1.0,Binary: straight vs. non-straight,0.42,21,50,"[0, 1]","[[13, 14], [15, 8]]",0.06
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",15,1.0,3-class: straight / bi / gay,0.2,10,50,"[0, 1, 2]","[[7, 10, 6], [7, 3, 3], [7, 7, 0]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",15,1.0,Ordinal 1-5: attraction scale,0.2,10,50,"[1, 2, 3, 4, 5]","[[9, 2, 1, 1, 9], [1, 0, 1, 1, 2], [4, 1, 0, 0, 0], [1, 2, 2, 0, 0], [4, 6, 2, 0, 1]]",0.04
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",20,0.1,Binary: straight vs. non-straight,0.48,24,50,"[0, 1]","[[14, 13], [13, 10]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",20,0.1,3-class: straight / bi / gay,0.26,13,50,"[0, 1, 2]","[[9, 5, 9], [6, 4, 3], [6, 8, 0]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",20,0.1,Ordinal 1-5: attraction scale,0.14,7,50,"[1, 2, 3, 4, 5]","[[6, 5, 3, 1, 7], [1, 0, 0, 1, 3], [3, 2, 0, 0, 0], [1, 1, 1, 0, 2], [3, 3, 4, 2, 1]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",20,0.3,Binary: straight vs. non-straight,0.46,23,50,"[0, 1]","[[15, 12], [15, 8]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",20,0.3,3-class: straight / bi / gay,0.28,14,50,"[0, 1, 2]","[[9, 8, 6], [7, 4, 2], [6, 7, 1]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",20,0.3,Ordinal 1-5: attraction scale,0.2,10,50,"[1, 2, 3, 4, 5]","[[9, 4, 1, 1, 7], [2, 0, 0, 1, 2], [1, 2, 0, 0, 2], [1, 1, 1, 0, 2], [6, 1, 4, 1, 1]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",20,0.5,Binary: straight vs. non-straight,0.42,21,50,"[0, 1]","[[14, 13], [16, 7]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",20,0.5,3-class: straight / bi / gay,0.3,15,50,"[0, 1, 2]","[[8, 9, 6], [7, 4, 2], [5, 6, 3]]",0.06
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",20,0.5,Ordinal 1-5: attraction scale,0.18,9,50,"[1, 2, 3, 4, 5]","[[8, 4, 2, 1, 7], [2, 0, 1, 1, 1], [2, 2, 0, 0, 1], [0, 1, 1, 0, 3], [7, 1, 3, 1, 1]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",20,0.7,Binary: straight vs. non-straight,0.42,21,50,"[0, 1]","[[14, 13], [16, 7]]",0.06
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",20,0.7,3-class: straight / bi / gay,0.32,16,50,"[0, 1, 2]","[[9, 9, 5], [7, 4, 2], [4, 7, 3]]",0.08
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",20,0.7,Ordinal 1-5: attraction scale,0.18,9,50,"[1, 2, 3, 4, 5]","[[8, 4, 1, 1, 8], [2, 0, 1, 1, 1], [3, 1, 0, 0, 1], [0, 1, 1, 0, 3], [7, 1, 2, 2, 1]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",20,1.0,Binary: straight vs. non-straight,0.42,21,50,"[0, 1]","[[14, 13], [16, 7]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",20,1.0,3-class: straight / bi / gay,0.3,15,50,"[0, 1, 2]","[[9, 10, 4], [7, 4, 2], [7, 5, 2]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",20,1.0,Ordinal 1-5: attraction scale,0.2,10,50,"[1, 2, 3, 4, 5]","[[8, 4, 1, 1, 8], [2, 0, 1, 1, 1], [3, 1, 0, 0, 1], [0, 1, 1, 0, 3], [6, 1, 2, 2, 2]]",0.05
