run_id,date,time,note,model,k,C,accuracy,n_correct,n_total,chance_baseline,above_chance,confusion_matrix,elapsed_s
30,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Ordinal,10,0.7,0.20,10,50,0.20,False,"[[9, 1, 2, 2, 8], [1, 0, 0, 2, 2], [3, 2, 0, 0, 0], [0, 1, 1, 1, 2], [5, 5, 3, 0, 0]]",0.05
31,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Binary,10,1.0,0.54,27,50,0.50,True,"[[15, 12], [11, 12]]",0.04
32,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",3-class,10,1.0,0.18,9,50,0.46,False,"[[8, 4, 11], [6, 1, 6], [7, 7, 0]]",0.05
33,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Ordinal,10,1.0,0.18,9,50,0.20,False,"[[8, 0, 2, 3, 9], [1, 0, 2, 1, 1], [3, 2, 0, 0, 0], [0, 1, 1, 1, 2], [4, 5, 4, 0, 0]]",0.05
34,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Binary,15,0.1,0.48,24,50,0.50,False,"[[13, 14], [12, 11]]",0.04
35,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",3-class,15,0.1,0.24,12,50,0.46,False,"[[9, 4, 10], [5, 3, 5], [7, 7, 0]]",0.04
36,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Ordinal,15,0.1,0.14,7,50,0.20,False,"[[6, 3, 1, 1, 11], [2, 0, 0, 1, 2], [3, 1, 0, 1, 0], [1, 3, 0, 0, 1], [2, 6, 3, 1, 1]]",0.05
37,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Binary,15,0.3,0.48,24,50,0.50,False,"[[14, 13], [13, 10]]",0.05
38,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",3-class,15,0.3,0.20,10,50,0.46,False,"[[7, 7, 9], [6, 3, 4], [8, 6, 0]]",0.05
39,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Ordinal,15,0.3,0.20,10,50,0.20,False,"[[9, 3, 2, 1, 7], [2, 0, 0, 1, 2], [3, 2, 0, 0, 0], [1, 3, 1, 0, 0], [3, 6, 3, 0, 1]]",0.06
40,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Binary,15,0.5,0.44,22,50,0.50,False,"[[13, 14], [14, 9]]",0.08
41,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",3-class,15,0.5,0.24,12,50,0.46,False,"[[8, 7, 8], [6, 4, 3], [8, 6, 0]]",0.05
42,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Ordinal,15,0.5,0.20,10,50,0.20,False,"[[10, 2, 1, 1, 8], [2, 0, 1, 1, 1], [3, 2, 0, 0, 0], [1, 2, 2, 0, 0], [4, 6, 3, 0, 0]]",0.06
43,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Binary,15,0.7,0.42,21,50,0.50,False,"[[13, 14], [15, 8]]",0.06
44,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",3-class,15,0.7,0.22,11,50,0.46,False,"[[8, 8, 7], [7, 3, 3], [8, 6, 0]]",0.06
45,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Ordinal,15,0.7,0.20,10,50,0.20,False,"[[10, 2, 1, 1, 8], [2, 0, 1, 1, 1], [3, 2, 0, 0, 0], [1, 2, 2, 0, 0], [4, 6, 3, 0, 0]]",0.05
46,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Binary,15,1.0,0.42,21,50,0.50,False,"[[13, 14], [15, 8]]",0.06
47,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",3-class,15,1.0,0.20,10,50,0.46,False,"[[7, 10, 6], [7, 3, 3], [7, 7, 0]]",0.05
48,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Ordinal,15,1.0,0.20,10,50,0.20,False,"[[9, 2, 1, 1, 9], [1, 0, 1, 1, 2], [4, 1, 0, 0, 0], [1, 2, 2, 0, 0], [4, 6, 2, 0, 1]]",0.04
49,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Binary,20,0.1,0.48,24,50,0.50,False,"[[14, 13], [13, 10]]",0.05
50,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",3-class,20,0.1,0.26,13,50,0.46,False,"[[9, 5, 9], [6, 4, 3], [6, 8, 0]]",0.05
51,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Ordinal,20,0.1,0.14,7,50,0.20,False,"[[6, 5, 3, 1, 7], [1, 0, 0, 1, 3], [3, 2, 0, 0, 0], [1, 1, 1, 0, 2], [3, 3, 4, 2, 1]]",0.05
52,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Binary,20,0.3,0.46,23,50,0.50,False,"[[15, 12], [15, 8]]",0.05
53,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",3-class,20,0.3,0.28,14,50,0.46,False,"[[9, 8, 6], [7, 4, 2], [6, 7, 1]]",0.05
54,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Ordinal,20,0.3,0.20,10,50,0.20,False,"[[9, 4, 1, 1, 7], [2, 0, 0, 1, 2], [1, 2, 0, 0, 2], [1, 1, 1, 0, 2], [6, 1, 4, 1, 1]]",0.05
55,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Binary,20,0.5,0.42,21,50,0.50,False,"[[14, 13], [16, 7]]",0.05
56,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",3-class,20,0.5,0.30,15,50,0.46,False,"[[8, 9, 6], [7, 4, 2], [5, 6, 3]]",0.06
57,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Ordinal,20,0.5,0.18,9,50,0.20,False,"[[8, 4, 2, 1, 7], [2, 0, 1, 1, 1], [2, 2, 0, 0, 1], [0, 1, 1, 0, 3], [7, 1, 3, 1, 1]]",0.05
58,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Binary,20,0.7,0.42,21,50,0.50,False,"[[14, 13], [16, 7]]",0.06
59,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",3-class,20,0.7,0.32,16,50,0.46,False,"[[9, 9, 5], [7, 4, 2], [4, 7, 3]]",0.08
60,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Ordinal,20,0.7,0.18,9,50,0.20,False,"[[8, 4, 1, 1, 8], [2, 0, 1, 1, 1], [3, 1, 0, 0, 1], [0, 1, 1, 0, 3], [7, 1, 2, 2, 1]]",0.05
61,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Binary,20,1.0,0.42,21,50,0.50,False,"[[14, 13], [16, 7]]",0.05
62,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",3-class,20,1.0,0.30,15,50,0.46,False,"[[9, 10, 4], [7, 4, 2], [7, 5, 2]]",0.05
63,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Ordinal,20,1.0,0.20,10,50,0.20,False,"[[8, 4, 1, 1, 8], [2, 0, 1, 1, 1], [3, 1, 0, 0, 1], [0, 1, 1, 0, 3], [6, 1, 2, 2, 2]]",0.05
