file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
4G2A0GO67_mono,3.5529,4.2909,phrase,-57.86609216638514,,,12.587548472229175
4G2A0GO67_mono,4.3609,5.0397,phrase,-48.41873348460478,,,14.088770919050422
4G2A0GO67_mono,5.0989,7.2158,phrase,-50.28259507665094,,,14.14887248636459
4G2A0GO67_mono,7.4475,8.1801,phrase,-57.456496147260275,,,25.353070577299604
4G2A0GO67_mono,8.8639,10.1459,phrase,-60.03746795654297,,,18.198373716820548
4G2A0GO67_mono,10.1944,11.7134,phrase,-56.22642758018092,,,21.390863737655767
4G2A0GO67_mono,11.7134,12.2521,phrase,-53.592994972511576,,,7.457039258543686
4G2A0GO67_mono,12.9308,16.9133,phrase,-52.71141842022613,,,21.922954001315258
4G2A0GO67_mono,17.5902,20.2943,phrase,-53.84615162037037,,,17.72017620439134
4G2A0GO67_mono,20.2943,21.1346,phrase,-51.953543526785715,,,14.608234707533777
4G2A0GO67_mono,21.7756,22.5189,phrase,-56.68116554054054,,,11.908358440613187
4G2A0GO67_mono,22.7452,23.5209,phrase,-55.634703024839745,,,8.404627884303093
4G2A0GO67_mono,24.1403,25.0937,phrase,-55.61174444901316,,,17.213590586683065
4G2A0GO67_mono,25.3146,25.9771,phrase,-51.60140713778409,,,13.152656497518922
4G2A0GO67_mono,27.0006,29.8501,phrase,-52.818513569078945,,,15.056500212203957
4G2A0GO67_mono,29.9688,31.3891,phrase,-50.81763039172535,,,9.164574574284668
4G2A0GO67_mono,31.6638,33.3229,phrase,-55.9254929875753,,,16.830532672985782
4G2A0GO67_mono,34.0231,36.0485,phrase,-54.644805457204434,,,9.546910230121808
4G2A0GO67_mono,36.1437,37.1833,phrase,-55.31382399338942,,,16.448563476626475
4G2A0GO67_mono,37.8028,39.9251,phrase,-49.57274008696934,,,7.1877880636145415
4G2A0GO67_mono,40.2645,41.9182,phrase,-56.11405658143939,,,11.089813942524497
4G2A0GO67_mono,42.5108,43.475,phrase,-51.89655558268229,,,14.479881414441607
4G2A0GO67_mono,43.475,46.4107,phrase,-51.5174253295068,,,12.402585435442047
4G2A0GO67_mono,46.976,47.5416,phrase,-53.89759799890351,,,12.616726609641402
4G2A0GO67_mono,48.1503,48.7159,phrase,-57.345763089364034,,,10.551036205125316
4G2A0GO67_mono,48.8128,49.5616,phrase,-52.33505859375,,,13.458954256172786
BOOB69420_mono,1.2337,4.1669,phrase,-51.99572712244027,,,13.292956277657753
BOOB69420_mono,4.4731,5.2047,phrase,-56.24549175941781,,,15.732006538157318
BOOB69420_mono,5.8158,7.3651,phrase,-55.88412298387097,,,20.271633827928866
BOOB69420_mono,7.8212,9.2758,phrase,-53.593918372844826,,,17.975080720573338
BOOB69420_mono,9.2758,10.0333,phrase,-55.430265727796055,,,16.51111192983189
BOOB69420_mono,10.8531,15.0017,phrase,-51.89159920933735,,,14.917205514990485
BOOB69420_mono,15.7764,18.6425,phrase,-52.70202253919861,,,13.58825420968282
BOOB69420_mono,18.9348,19.8127,phrase,-50.32817493785512,,,18.86354679120555
BOOB69420_mono,20.5052,21.3831,phrase,-51.39734441583807,,,15.234708413186112
BOOB69420_mono,21.4611,22.4267,phrase,-52.0039565882732,,,14.874270966274795
BOOB69420_mono,22.4267,23.7825,phrase,-51.9402286305147,,,20.761898451126818
BOOB69420_mono,23.7825,24.4555,phrase,-51.735978311567166,,,12.324438571171955
BOOB69420_mono,25.3509,26.6872,phrase,-47.88923303404851,,,16.328253065803114
BOOB69420_mono,26.6872,27.5553,phrase,-49.16200273886494,,,18.372115917294664
BOOB69420_mono,27.7602,28.7746,phrase,-52.184338258044555,,,21.991649338237533
BOOB69420_mono,29.4095,30.9506,phrase,-50.35245028409091,,,13.647635003275921
BOOB69420_mono,31.1299,32.7296,phrase,-50.11197509765625,,,12.730227115585006
BOOB69420_mono,33.861,36.1142,phrase,-51.35262152777778,,,17.42719345426303
BOOB69420_mono,36.4533,37.4092,phrase,-55.09821573893229,,,17.320810299456575
BOOB69420_mono,38.0822,40.706,phrase,-47.35282979484733,,,14.377165580854502
BOOB69420_mono,41.0182,42.8714,phrase,-50.78591110641892,,,17.871937014940066
BOOB69420_mono,43.8956,44.9197,phrase,-49.892357919730394,,,14.511073079009101
BOOB69420_mono,45.1421,48.0975,phrase,-50.99134620460304,,,14.16646681553246
BOOB69420_mono,48.7608,49.2875,phrase,-53.2101359817217,,,13.983818767246811
BOOB69420_mono,49.4435,50.1165,phrase,-51.87359710237873,,,15.502175904206139
BOOB69420_mono,50.2433,50.8091,phrase,-58.20633309347588,,,12.761961414476989
VIOLAGOD7_mono,1.7852,2.6457,phrase,-46.59556686046512,,,9.369005067951347
VIOLAGOD7_mono,2.6457,4.9814,phrase,-49.66418770032051,,,11.281029935425508
VIOLAGOD7_mono,5.3501,6.0877,phrase,-50.747314453125,,,10.319767444352241
VIOLAGOD7_mono,6.6848,8.3004,phrase,-51.03370346257716,,,11.138547330207786
VIOLAGOD7_mono,8.3004,10.0565,phrase,-48.62860662286932,,,10.478905928356992
VIOLAGOD7_mono,10.0565,10.6536,phrase,-51.101664225260414,,,8.625685160795808
VIOLAGOD7_mono,11.3385,12.2692,phrase,-51.50724546370968,,,11.680873639638161
VIOLAGOD7_mono,12.4975,15.641,phrase,-48.74713562400478,,,11.945180901664674
VIOLAGOD7_mono,16.1151,19.0303,phrase,-50.046791390196915,,,10.947646117311917
VIOLAGOD7_mono,19.1753,19.8539,phrase,-52.28982723460478,,,12.47631940293521
VIOLAGOD7_mono,20.4572,21.2531,phrase,-50.61472778320312,,,11.118478007007807
VIOLAGOD7_mono,21.5631,22.4092,phrase,-50.309426700367645,,,8.215734128238381
VIOLAGOD7_mono,22.8114,24.1581,phrase,-52.132407407407406,,,9.76202042013074
VIOLAGOD7_mono,24.5328,24.7004,phrase,-59.476921530330884,,,5.893406558820708
VIOLAGOD7_mono,25.6471,26.6776,phrase,-51.20101543537621,,,10.642304660260692
VIOLAGOD7_mono,26.9008,27.6939,phrase,-47.320395940466774,,,12.621849188649337
VIOLAGOD7_mono,27.8395,28.9778,phrase,-50.207275390625,,,7.996938090598915
VIOLAGOD7_mono,29.243,30.7589,phrase,-50.22821687397204,,,8.87841632492534
VIOLAGOD7_mono,31.2336,32.8035,phrase,-51.05438893312102,,,11.61808509638362
VIOLAGOD7_mono,33.6357,35.7989,phrase,-49.664998372395836,,,11.987418695551945
VIOLAGOD7_mono,36.0471,36.8671,phrase,-50.965683355564025,,,8.93406301922445
VIOLAGOD7_mono,37.5145,39.6508,phrase,-46.09613664573598,,,6.132054941972125
VIOLAGOD7_mono,39.9521,41.5759,phrase,-52.49035493827161,,,11.286295340590613
VIOLAGOD7_mono,42.1477,43.0595,phrase,-52.00157752403846,,,8.904841486713897
VIOLAGOD7_mono,43.4425,44.3056,phrase,-48.804528524709305,,,9.031506003417899
VIOLAGOD7_mono,44.3056,46.6523,phrase,-50.324659242021276,,,9.311389331419106
VIOLAGOD7_mono,47.1648,47.8391,phrase,-50.77350309001866,,,12.077219059306112
VIOLAGOD7_mono,48.0495,48.6537,phrase,-51.21332600911458,,,8.243183251637328
VIOLAGOD7_mono,49.0314,49.6571,phrase,-53.76484995039682,,,5.872481995656408
SIGMABOY1_mono,0.9845,2.5046,sigma,-51.97657534950658,,,11.923808591108454
SIGMABOY1_mono,2.5724,4.4847,sigma,-52.987509203206805,,,15.16667047216511
SIGMABOY1_mono,4.8283,5.5071,sigma,-53.401938045726105,,,9.904494593368112
SIGMABOY1_mono,5.5953,5.8921,sigma,-50.24424641927083,,,9.58011490497933
SIGMABOY1_mono,6.4411,8.0966,sigma,-53.961466961596386,,,8.442576714014848
SIGMABOY1_mono,8.1004,9.63,sigma,-53.72207541870915,,,13.246424880721575
SIGMABOY1_mono,9.6992,10.1904,sigma,-57.74433992346939,,,13.426478513877278
SIGMABOY1_mono,11.0758,12.0224,sigma,-55.78984375,,,9.013892023299057
SIGMABOY1_mono,12.3697,14.0074,sigma,-56.202219893292686,,,7.444583690148669
SIGMABOY1_mono,14.0234,15.5704,sigma,-55.738375756048384,,,10.188050969089508
SIGMABOY1_mono,16.4083,17.6654,sigma,-52.363548642113095,,,8.083811857748952
SIGMABOY1_mono,17.7211,19.6828,sigma,-56.77466318558673,,,12.168937681011196
SIGMABOY1_mono,19.8535,20.8053,sigma,-54.73922183388158,,,17.428806937123618
SIGMABOY1_mono,21.4758,22.3843,sigma,-54.32033932864011,,,16.299731121898727
SIGMABOY1_mono,22.5736,23.5524,sigma,-53.882304288903065,,,12.009335340858456
SIGMABOY1_mono,24.0014,24.7722,sigma,-57.04131366680195,,,14.459980381994047
SIGMABOY1_mono,24.8845,25.3723,sigma,-49.30167311065051,,,10.892304422282331
SIGMABOY1_mono,25.5236,25.8602,sigma,-57.896538229549634,,,11.066322488263571
SIGMABOY1_mono,26.1139,26.4603,sigma,-55.00848214285714,,,7.69083214363023
SIGMABOY1_mono,27.2132,28.4246,sigma,-50.371372191373965,,,8.376492929782
SIGMABOY1_mono,28.4246,29.2491,sigma,-48.53621915491616,,,7.05352190698674
SIGMABOY1_mono,29.6635,30.8003,sigma,-47.05529999314693,,,10.166839832395615
SIGMABOY1_mono,31.051,32.6703,sigma,-52.43244839891975,,,14.266282431493542
SIGMABOY1_mono,33.1525,34.8226,sigma,-54.765157185628745,,,11.066130652279586
SIGMABOY1_mono,35.6643,37.2559,sigma,-53.44275746855346,,,8.705489679879655
SIGMABOY1_mono,37.2628,38.3879,sigma,-56.61402015348451,,,10.460764105754528
SIGMABOY1_mono,38.7241,39.7463,sigma,-53.62020335477941,,,13.767885187155949
SIGMABOY1_mono,40.2679,41.6476,sigma,-50.35573412024456,,,12.74004788673925
SIGMABOY1_mono,41.7301,43.0198,sigma,-45.90824854651163,,,8.35842802233292
SIGMABOY1_mono,43.4172,45.4867,sigma,-50.75180687650966,,,9.885817173839975
SIGMABOY1_mono,46.089,47.1441,sigma,-48.814688052771224,,,11.300663305527932
SIGMABOY1_mono,47.2811,48.1027,sigma,-52.264541253810975,,,11.526110977963732
SIGMABOY1_mono,48.4861,49.7869,sigma,-49.71585787259615,,,13.852468000824828
SIGMABOY1_mono,49.8554,51.17,sigma,-53.95911483182252,,,11.935016316404125
SIGMABOY1_mono,51.7754,52.4571,sigma,-53.564370548023895,,,12.513929015462288
SIGMABOY1_mono,52.7264,53.2376,sigma,-56.581461588541664,,,5.162892127616988
SIGMABOY1_mono,53.5843,54.1825,sigma,-59.36224365234375,,,12.220435032002491
W8C94LK3M_mono,2.0038,2.7816,phrase,-44.97690054086539,,,7.804173045321216
W8C94LK3M_mono,2.7816,5.3493,phrase,-50.47847382660506,,,10.960585687465468
W8C94LK3M_mono,5.58,6.4768,phrase,-49.209711371527774,,,14.182013874045435
W8C94LK3M_mono,7.1268,8.7158,phrase,-53.949353871855344,,,12.830592421804534
W8C94LK3M_mono,8.7418,10.4127,phrase,-51.8331656998503,,,13.668941608491751
W8C94LK3M_mono,10.5057,11.0602,phrase,-54.75667613636364,,,12.652792457259581
W8C94LK3M_mono,11.8156,12.7608,phrase,-48.567017886513156,,,13.23818637398157
W8C94LK3M_mono,12.7608,15.775,phrase,-49.0886043916113,,,10.683797538429467
W8C94LK3M_mono,16.3682,17.6669,phrase,-46.75809420072115,,,14.660945758434362
W8C94LK3M_mono,17.6669,19.762,phrase,-49.28490978422619,,,13.07873107096984
W8C94LK3M_mono,20.0659,20.8697,phrase,-49.827700805664065,,,7.929830268553764
W8C94LK3M_mono,21.5395,22.3842,phrase,-49.45660109747024,,,11.300772963579037
W8C94LK3M_mono,22.5554,23.4932,phrase,-47.440382937167556,,,11.831292037389971
W8C94LK3M_mono,23.6904,24.8738,phrase,-48.54986261917373,,,12.765780887097321
W8C94LK3M_mono,24.9557,25.2608,phrase,-54.254461473034276,,,7.718721425713317
W8C94LK3M_mono,25.4729,25.8227,phrase,-44.67600446428571,,,8.844281806579366
W8C94LK3M_mono,26.588,27.8793,phrase,-47.03170421511628,,,9.555561412717688
W8C94LK3M_mono,27.8793,28.7538,phrase,-48.190828169899426,,,9.52276260590406
W8C94LK3M_mono,28.9324,29.9781,phrase,-43.995814732142854,,,7.903706201037233
W8C94LK3M_mono,30.309,31.7454,phrase,-52.050143771701386,,,11.309196833010603
W8C94LK3M_mono,32.0152,33.5483,phrase,-50.508211422589866,,,15.506434722197751
W8C94LK3M_mono,34.2166,36.2298,phrase,-52.5205515391791,,,15.495884701542852
W8C94LK3M_mono,36.3079,37.2234,phrase,-48.94015370244565,,,12.978541377740273
W8C94LK3M_mono,37.9022,39.506,phrase,-47.830810546875,,,18.260950246584713
W8C94LK3M_mono,39.506,40.1498,phrase,-43.908233642578125,,,7.793135340841792
W8C94LK3M_mono,40.1498,42.0067,phrase,-50.309223790322584,,,9.439490453933406
W8C94LK3M_mono,42.6347,43.7362,phrase,-44.97430752840909,,,11.579050606928632
W8C94LK3M_mono,44.0171,46.168,phrase,-44.99915061773256,,,15.614145887231277
W8C94LK3M_mono,46.4474,47.6531,phrase,-50.42902569731405,,,10.349722895192173
W8C94LK3M_mono,48.0997,48.7807,phrase,-48.56477266199448,,,9.234504240009267
W8C94LK3M_mono,49.0786,49.7298,phrase,-47.168299278846156,,,12.99015437781259
W8C94LK3M_mono,50.0089,50.7122,phrase,-53.270657784598214,,,14.811384078728146
DHAY38F2P_mono,2.2415,3.6311,phrase,-55.0719740613759,,,9.238312084632838
DHAY38F2P_mono,3.6311,6.0219,phrase,-54.59470613232217,,,14.025540123306442
DHAY38F2P_mono,6.0219,6.993,phrase,-53.09712266430412,,,14.202125872676628
DHAY38F2P_mono,7.6517,9.2807,phrase,-55.894399444018404,,,8.95476038401486
DHAY38F2P_mono,9.2807,12.0627,phrase,-55.86349553169964,,,12.678549862346312
DHAY38F2P_mono,13.1868,13.9953,phrase,-54.39498336226852,,,10.56143960825397
DHAY38F2P_mono,14.219,15.51,phrase,-52.783850381540695,,,12.376935460535806
DHAY38F2P_mono,15.51,17.6455,phrase,-57.183862989193926,,,13.273810810990161
DHAY38F2P_mono,18.4609,19.7654,phrase,-55.03189227764423,,,5.931483943498207
DHAY38F2P_mono,19.9688,22.0884,phrase,-54.60526606721698,,,16.702694222466853
DHAY38F2P_mono,22.2256,23.0005,phrase,-58.82624797077922,,,5.804813019632693
DHAY38F2P_mono,23.1602,23.9194,phrase,-53.0316740337171,,,9.1885519517313
DHAY38F2P_mono,24.6866,25.3985,phrase,-58.81518898547535,,,16.51243348391072
DHAY38F2P_mono,25.6514,26.601,phrase,-53.14139083059211,,,12.605701789403327
DHAY38F2P_mono,26.601,27.5155,phrase,-50.399054558722526,,,12.71511335565306
DHAY38F2P_mono,27.8058,28.7144,phrase,-51.86992938701923,,,11.923484485452096
DHAY38F2P_mono,30.0528,31.318,phrase,-53.70504352239173,,,7.863794764076017
DHAY38F2P_mono,31.406,32.3053,phrase,-49.42761501736111,,,14.973473918233491
DHAY38F2P_mono,32.4224,33.6916,phrase,-52.93236343503937,,,11.675042385627568
DHAY38F2P_mono,34.1319,35.9772,phrase,-55.412700591216215,,,11.745189959685447
DHAY38F2P_mono,36.4268,38.3845,phrase,-55.010373485331634,,,11.818278251359406
DHAY38F2P_mono,39.2909,41.7805,phrase,-55.218965706576306,,,15.235273801346839
DHAY38F2P_mono,41.8837,43.1032,phrase,-56.55880186987705,,,4.950143013498783
DHAY38F2P_mono,44.3397,45.4451,phrase,-53.645169094876124,,,12.436453671063353
DHAY38F2P_mono,45.6822,48.1251,phrase,-47.59231317238729,,,13.265629875227496
DHAY38F2P_mono,48.2489,49.3429,phrase,-50.38401752436926,,,13.309394800072566
DHAY38F2P_mono,49.7082,50.6261,phrase,-52.50419284986413,,,11.4364887110559
DHAY38F2P_mono,51.6097,52.7712,phrase,-51.72058947332974,,,14.733262519604674
DHAY38F2P_mono,53.2204,54.1062,phrase,-54.68336881144663,,,15.36103514777286
