MM,LQ,PP,MM,HZ,GA,D_M,A_B,AI,BO,BR,CA,DH,EX,GE,GO,HY,JF,LA,LS,NO,PE,PL,PR,PS,SI,TU,TY,VI,WCH,WCL,WH,WT,XX,RU,QI,listener_birth_year,listener_gender,listener_orientation,listener_english_child,listener_gay_friends,listener_gay_acquaintances,listener_religiosity
1.0,1.0,5.0,3.0,1.0,3.0,5.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,4.0,4.0,1.0,4.0,1.0,3.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,3.0,5.0,3.0,5.0,2.0,1.0,5.0,1.0,07171995,2.0,2.0,2.0,1.0,2.0,10.0
1.0,1.0,2.0,5.0,1.0,5.0,2.0,5.0,1.0,2.0,4.0,5.0,1.0,2.0,5.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,5.0,1.0,5.0,4.0,1999,2.0,5.0,1.0,2.0,2.0,10.0
4.0,1.0,5.0,3.0,1.0,3.0,5.0,1.0,1.0,4.0,1.0,1.0,5.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,,5.0,3.0,2.0,4.0,3.0,3.0,3.0,1.0,4.0,4.0,07/17/1995,2.0,,,1.0,2.0,10.0
1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,2.0,3.0,4.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2004,2.0,2.0,1.0,1.0,2.0,9.0
1.0,1.0,5.0,2.0,2.0,1.0,5.0,4.0,1.0,5.0,1.0,2.0,3.0,4.0,5.0,5.0,5.0,1.0,4.0,1.0,4.0,1.0,5.0,1.0,1.0,3.0,4.0,3.0,3.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,2006,2.0,2.0,1.0,1.0,1.0,9.0
3.0,1.0,5.0,3.0,1.0,4.0,5.0,2.0,2.0,5.0,1.0,4.0,1.0,5.0,5.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0,5.0,1.0,4.0,5.0,3.0,1.0,4.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,2005,2.0,5.0,1.0,2.0,2.0,
2.0,1.0,5.0,3.0,1.0,3.0,5.0,4.0,2.0,1.0,1.0,5.0,1.0,4.0,5.0,4.0,3.0,4.0,2.0,2.0,5.0,4.0,2.0,5.0,3.0,4.0,1.0,4.0,4.0,5.0,1.0,3.0,2.0,3.0,5.0,1.0,2005,2.0,3.0,1.0,2.0,3.0,1.0
4.0,1.0,5.0,5.0,1.0,5.0,4.0,,4.0,1.0,4.0,4.0,1.0,4.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,1.0,4.0,4.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,2005,2.0,5.0,2.0,1.0,1.0,0.0
1.0,5.0,5.0,4.0,1.0,4.0,5.0,2.0,1.0,2.0,1.0,4.0,2.0,3.0,5.0,1.0,1.0,3.0,4.0,1.0,4.0,4.0,5.0,1.0,4.0,4.0,1.0,5.0,2.0,5.0,3.0,1.0,3.0,2.0,4.0,1.0,2005,2.0,2.0,1.0,2.0,2.0,5.0
1.0,4.0,5.0,5.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,5.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,4.0,1.0,1.0,5.0,1.0,1.0,5.0,2.0,5.0,1.0,2006,2.0,2.0,1.0,2.0,2.0,8.0
4.0,3.0,1.0,,1.0,5.0,5.0,4.0,,1.0,5.0,1.0,2.0,1.0,3.0,,5.0,3.0,4.0,3.0,3.0,1.0,5.0,1.0,3.0,5.0,5.0,1.0,,3.0,5.0,1.0,1.0,3.0,1.0,3.0,06,2.0,2.0,1.0,2.0,2.0,8.0
3.0,2.0,5.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,4.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,3.0,3.0,5.0,5.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,2001,1.0,2.0,2.0,1.0,1.0,2.0
1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,,5.0,5.0,1.0,5.0,3.0,5.0,5.0,3.0,1.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,,5.0,4.0,2.0,5.0,1.0,06,2.0,2.0,1.0,2.0,2.0,8.0
1.0,1.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2006,2.0,2.0,1.0,1.0,1.0,5.0
2.0,2.0,5.0,3.0,1.0,1.0,5.0,3.0,2.0,4.0,4.0,1.0,1.0,3.0,5.0,3.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,3.0,5.0,5.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,2006,2.0,1.0,2.0,1.0,2.0,0.0
3.0,1.0,5.0,1.0,3.0,5.0,3.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,3.0,5.0,5.0,1.0,3.0,3.0,5.0,4.0,1.0,1.0,1.0,5.0,5.0,2000,1.0,2.0,1.0,2.0,1.0,4.0
1.0,1.0,5.0,4.0,3.0,3.0,5.0,2.0,2.0,5.0,1.0,4.0,1.0,4.0,5.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,4.0,1.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,02/27/2007,2.0,3.0,1.0,3.0,2.0,7.0
4.0,3.0,5.0,4.0,1.0,2.0,5.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,5.0,2.0,1.0,4.0,3.0,3.0,1.0,4.0,5.0,1.0,4.0,1.0,1.0,5.0,2.0,5.0,3.0,2.0,4.0,2.0,3.0,2.0,2001,2.0,5.0,1.0,2.0,1.0,10.0
1.0,2.0,5.0,5.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,5.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,5.0,1.0,5.0,2.0,2.0,5.0,1.0,3.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,2006,1.0,2.0,1.0,1.0,1.0,3.0
1.0,1.0,5.0,3.0,2.0,1.0,5.0,1.0,1.0,5.0,1.0,2.0,3.0,1.0,5.0,4.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,2007,2.0,3.0,1.0,2.0,1.0,8.0
1.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,4.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,2005,1.0,2.0,1.0,1.0,1.0,10.0
4.0,3.0,5.0,4.0,1.0,4.0,5.0,5.0,1.0,1.0,1.0,3.0,3.0,5.0,3.0,1.0,2.0,2.0,4.0,1.0,3.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,2003,2.0,2.0,2.0,2.0,2.0,10.0
4.0,1.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,5.0,1.0,2.0,1.0,5.0,5.0,5.0,2.0,5.0,1.0,5.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,2004,2.0,2.0,2.0,1.0,1.0,10.0
4.0,5.0,5.0,1.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,1.0,5.0,1.0,4.0,3.0,5.0,5.0,5.0,2.0,4.0,5.0,1.0,1.0,2.0,4.0,5.0,1.0,2004,2.0,2.0,1.0,1.0,1.0,9.0
1.0,1.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,4.0,5.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,1996,1.0,2.0,1.0,2.0,1.0,5.0
1.0,1.0,5.0,3.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0,3.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,1.0,3.0,1.0,5.0,1.0,1.0,5.0,1.0,5.0,1.0,2007,2.0,2.0,1.0,1.0,1.0,10.0
1.0,2.0,5.0,5.0,1.0,1.0,5.0,5.0,3.0,1.0,4.0,1.0,4.0,4.0,4.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,5.0,4.0,3.0,5.0,5.0,4.0,1.0,5.0,5.0,3.0,5.0,4.0,3.0,1.0,2004,2.0,2.0,1.0,1.0,1.0,4.0
3.0,1.0,3.0,5.0,2.0,3.0,5.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,2.0,1.0,5.0,1.0,3.0,5.0,3.0,3.0,1.0,3.0,3.0,2.0,5.0,1.0,1.0,5.0,2006,2.0,2.0,1.0,1.0,2.0,10.0
2.0,1.0,5.0,4.0,1.0,4.0,4.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,3.0,4.0,1.0,2.0,5.0,1.0,1.0,2.0,2000,1.0,2.0,1.0,2.0,3.0,5.0
1.0,2.0,5.0,1.0,1.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,4.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2006,1.0,2.0,1.0,1.0,2.0,1.0
1.0,1.0,5.0,3.0,1.0,5.0,5.0,2.0,2.0,4.0,2.0,4.0,5.0,3.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,4.0,5.0,3.0,4.0,2.0,2.0,3.0,1.0,4.0,5.0,1995,1.0,2.0,1.0,2.0,2.0,9.0
1.0,1.0,5.0,1.0,1.0,5.0,5.0,4.0,2.0,5.0,1.0,4.0,3.0,3.0,5.0,1.0,4.0,2.0,3.0,1.0,3.0,1.0,5.0,1.0,5.0,4.0,4.0,5.0,1.0,4.0,3.0,1.0,4.0,1.0,3.0,4.0,1995,1.0,2.0,1.0,2.0,2.0,9.0
1.0,1.0,5.0,1.0,1.0,4.0,5.0,1.0,1.0,3.0,1.0,5.0,1.0,4.0,4.0,1.0,3.0,1.0,3.0,1.0,5.0,1.0,5.0,4.0,5.0,5.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,3.0,2006,2.0,2.0,1.0,2.0,1.0,5.0
3.0,1.0,5.0,1.0,1.0,3.0,5.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,2005,1.0,2.0,2.0,1.0,1.0,7.0
1.0,1.0,5.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,4.0,1.0,5.0,1.0,1.0,2.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,2005,1.0,2.0,2.0,1.0,1.0,7.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2005,1.0,2.0,2.0,1.0,1.0,5.0
2.0,1.0,5.0,5.0,1.0,4.0,5.0,4.0,1.0,5.0,3.0,2.0,3.0,3.0,2.0,5.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,3.0,5.0,4.0,2.0,1.0,2.0,3.0,3.0,1.0,4.0,3.0,5.0,2007,1.0,2.0,1.0,1.0,2.0,5.0
2.0,1.0,5.0,4.0,2.0,4.0,4.0,3.0,1.0,5.0,1.0,4.0,2.0,4.0,5.0,2.0,3.0,4.0,5.0,2.0,5.0,3.0,4.0,4.0,5.0,5.0,3.0,1.0,5.0,4.0,5.0,4.0,5.0,1.0,1.0,3.0,2007,2.0,2.0,1.0,1.0,2.0,3.0
1.0,1.0,5.0,4.0,1.0,3.0,2.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,5.0,1.0,5.0,3.0,2.0,4.0,4.0,4.0,2.0,1.0,4.0,3.0,2.0,4.0,5.0,3.0,5.0,1.0,2007,2.0,2.0,1.0,1.0,2.0,3.0
3.0,1.0,5.0,3.0,1.0,5.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,2.0,5.0,4.0,3.0,3.0,5.0,2.0,5.0,2.0,5.0,2.0,3.0,5.0,4.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,4.0,3.0,2007,2.0,2.0,1.0,2.0,1.0,5.0
3.0,1.0,5.0,5.0,1.0,5.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,5.0,4.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0,2.0,3.0,Jaiden Threewitts,1.0,2.0,1.0,1.0,2.0,5.0
1.0,4.0,3.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,3.0,1.0,4.0,2.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2006,2.0,2.0,2.0,1.0,3.0,7.0
2.0,5.0,2.0,5.0,1.0,3.0,4.0,3.0,1.0,4.0,1.0,5.0,4.0,3.0,5.0,5.0,4.0,1.0,5.0,1.0,5.0,1.0,2.0,5.0,2.0,3.0,1.0,3.0,1.0,5.0,1.0,4.0,5.0,1.0,3.0,4.0,09/01/05,1.0,2.0,1.0,1.0,1.0,5.0
1.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,5.0,1.0,5.0,3.0,5.0,1.0,1.0,2.0,5.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2006,2.0,2.0,2.0,1.0,3.0,6.0
1.0,1.0,2.0,3.0,1.0,3.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,3.0,1994,1.0,2.0,2.0,1.0,2.0,8.0
1.0,1.0,5.0,3.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1994,1.0,2.0,2.0,1.0,2.0,8.0
1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1994,1.0,2.0,2.0,1.0,2.0,8.0
3.0,1.0,4.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,5.0,1.0,4.0,1.0,4.0,5.0,2.0,1.0,1.0,1.0,3.0,2006,1.0,2.0,1.0,1.0,1.0,3.0
1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,5.0,1994,1.0,2.0,2.0,1.0,1.0,8.0
3.0,1.0,5.0,3.0,1.0,3.0,5.0,1.0,1.0,5.0,1.0,2.0,1.0,5.0,4.0,4.0,1.0,4.0,4.0,3.0,1.0,2.0,3.0,5.0,5.0,5.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2003,2.0,2.0,2.0,2.0,3.0,6.0
1.0,2.0,5.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,5.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0,4.0,5.0,2.0,3.0,1.0,4.0,1.0,1.0,2.0,3.0,3.0,3.0,2002,2.0,5.0,1.0,1.0,2.0,7.0
1.0,1.0,4.0,5.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,5.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,5.0,1.0,5.0,4.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,5.0,1.0,1998,2.0,2.0,1.0,2.0,2.0,4.0
1.0,5.0,4.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,1.0,4.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1986,2.0,2.0,1.0,1.0,2.0,1.0
1.0,1.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,5.0,5.0,2.0,1.0,3.0,2.0,3.0,1996,1.0,2.0,1.0,2.0,2.0,2.0
2.0,1.0,5.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,4.0,1.0,1.0,2.0,4.0,4.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,2007,2.0,2.0,2.0,2.0,1.0,5.0
1.0,1.0,5.0,4.0,2.0,1.0,3.0,5.0,3.0,3.0,1.0,3.0,1.0,4.0,4.0,1.0,2.0,2.0,4.0,1.0,5.0,2.0,2.0,2.0,3.0,5.0,5.0,1.0,2.0,5.0,2.0,2.0,5.0,1.0,5.0,4.0,2007,2.0,3.0,1.0,1.0,2.0,6.0
1.0,1.0,5.0,1.0,1.0,1.0,5.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0,1.0,5.0,2.0,4.0,1.0,1.0,3.0,5.0,2.0,3.0,4.0,4.0,1.0,1.0,5.0,1.0,3.0,4.0,1.0,1.0,1.0,2005,2.0,2.0,1.0,1.0,1.0,6.0
1.0,2.0,5.0,3.0,1.0,5.0,4.0,3.0,2.0,5.0,1.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,1.0,4.0,5.0,3.0,4.0,3.0,2.0,4.0,1.0,5.0,1.0,1.0,3.0,2007,2.0,2.0,1.0,1.0,1.0,3.0
5.0,1.0,5.0,2.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,5.0,2.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2005,2.0,2.0,1.0,1.0,1.0,6.0
4.0,1.0,5.0,3.0,3.0,4.0,5.0,5.0,3.0,5.0,3.0,4.0,2.0,5.0,4.0,2.0,5.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,3.0,2.0,2.0,3.0,4.0,1.0,5.0,1.0,4.0,4.0,2.0,4.0,2006,2.0,2.0,1.0,2.0,2.0,6.0
1.0,1.0,5.0,3.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,4.0,4.0,4.0,3.0,1.0,3.0,1.0,5.0,1.0,4.0,5.0,4.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,4.0,3.0,2007,1.0,2.0,1.0,1.0,2.0,8.0
1.0,3.0,5.0,5.0,1.0,3.0,4.0,1.0,4.0,4.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,2007,2.0,2.0,2.0,3.0,3.0,7.0
3.0,1.0,5.0,2.0,1.0,3.0,4.0,5.0,1.0,3.0,1.0,5.0,1.0,5.0,5.0,3.0,1.0,1.0,5.0,1.0,4.0,1.0,5.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,2007,2.0,2.0,1.0,1.0,2.0,4.0
