timestamp,note,model,accuracy,n_correct,n_total,classes,confusion_matrix,elapsed_s
20260515_144540,"PCA with n_components=15. linear, C=0.1, balanced",Binary: straight vs. non-straight,0.58,28,50,"[0, 1]","[[18, 9], [12, 11]]",3.77
20260515_144540,"PCA with n_components=15. linear, C=0.1, balanced",3-class: straight / bi / gay,0.32,16,50,"[0, 1, 2]","[[13, 7, 3], [5, 3, 5], [7, 7, 0]]",0.06
20260515_144540,"PCA with n_components=15. linear, C=0.1, balanced",Ordinal 1-5: attraction scale,0.2,10,50,"[1, 2, 3, 4, 5]","[[9, 3, 1, 3, 6], [3, 0, 2, 0, 0], [1, 0, 0, 3, 1], [1, 1, 3, 0, 0], [6, 1, 5, 0, 1]]",0.05
