ID,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
JEG,22.760777,0.1895346,20.85811,22.635422,24.368937,3.510826,186.58307,229.24248,100.36489,185.04659,0.8779511,0.6562562,0.34444186,0.7871314,1.2978379,0.95339596,13.734476,7.797207,12.768377,8.300971,0.5991926,0.7979276,23.327911,0.73837006,8.420223,1.5638716,19.566246,0.7439425,3.865108,3.5243316,0.033597723,1.4582152,1.532135,0.7080994,2.0098624,1.8188483,4.5319858,1.947945,22.078901,0.4463216,480.46695,0.34582207,1151.7808,0.19949341,-65.00034,-1.3188872,1518.3088,0.1365202,904.33185,0.4211102,-74.45321,-1.0545741,2477.8452,0.12912154,889.7353,0.36774787,-76.04802,-1.0172153,-15.337215,-0.5294062,22.648357,0.38488007,-0.00060327625,-50.281673,-0.025279272,-0.5272654,0.7279372,0.6702276,29.884602,0.42882192,7.724612,1.6052886,21.912277,0.688643,2.5667818,5.804203,-7.227541,14.984384,-0.032734767,-0.010859936,0.29892546,4.28449,2.637787,0.25569105,0.215271,0.108879305,0.120357014,-25.733519
JLG,23.30151,0.2471249,17.399546,23.995766,28.038609,10.639063,181.39622,184.6482,130.86841,160.66685,1.3762761,0.6130016,0.60089827,1.1924764,1.9445053,1.3436071,22.35574,12.325846,17.824953,11.109672,1.4368418,0.75094193,22.710855,0.57210165,14.758756,0.75487566,14.2134,0.87507474,1.7336421,6.457034,0.08573314,1.6101191,1.5289205,0.6997201,-0.29479787,-18.604961,3.0727937,4.4788017,23.222809,0.47054875,505.16232,0.4278167,1201.5442,0.19616978,-39.179714,-1.8074512,1571.1296,0.17688166,891.6721,0.39000723,-51.71345,-1.2344712,2627.1694,0.116340846,783.1932,0.513391,-53.997543,-1.1614425,-16.281427,-0.3732639,24.296564,0.31130102,0.015630398,2.1958764,-0.021136634,-0.60621834,1.5963658,0.6937974,26.253885,0.37886795,13.648289,0.76686496,13.941297,0.91618365,0.9558576,12.04371,-7.0930095,12.773355,-0.01205773,-0.00921084,0.6878618,4.359673,2.4763904,0.3274576,0.28044817,0.06525252,0.040659793,-25.743166
JFY,23.435822,0.15126841,22.273254,23.980482,25.436197,3.162943,249.6532,319.09213,95.40604,129.48186,0.9590308,0.5483642,0.49847043,0.84730816,1.3265945,0.82812405,11.654082,6.4861236,10.212101,6.616132,3.5424168,0.8952448,28.481606,0.36315432,10.48898,1.0240473,18.53833,0.6700215,7.576799,1.7145349,0.041154545,2.1813607,1.6096394,0.66565484,1.2127169,4.259757,4.342314,2.9600155,23.759882,0.40126804,510.64465,0.39035988,1236.0859,0.18924895,-83.75848,-1.1008042,1572.3663,0.17049521,971.81836,0.3928918,-91.80115,-0.93115956,2657.031,0.09533514,915.99634,0.46747258,-94.71722,-0.8768065,-22.52615,-0.3471013,33.356052,0.28125048,-0.06913851,-0.52019256,-0.021185672,-0.49999696,2.9914403,0.87927693,32.462315,0.25925815,7.571589,1.5413765,17.813055,0.78894085,3.477161,3.9402568,-31.20845,43.097786,-0.123305954,-0.011730904,4.381137,3.749741,3.152219,0.18118422,0.22946432,0.12103447,0.14336704,-22.23062
JJC,26.021326,0.17665382,22.416687,25.774506,30.119812,7.703125,154.39278,187.34279,77.84206,122.23743,0.9170914,0.6159808,0.4532702,0.7729862,1.3368007,0.8835305,16.674366,9.65072,12.933464,7.971261,0.6095428,0.85716844,20.10805,0.74914604,4.2652035,3.546913,13.56166,1.1704359,-3.8627028,-3.7594066,0.053942326,1.7019968,1.4082518,0.71541125,1.6170807,2.409446,3.6219025,2.2507436,18.88509,0.5051396,440.57526,0.34783363,1124.7838,0.20842625,-71.44389,-1.2451416,1462.0808,0.14970529,787.0339,0.42555708,-78.35093,-1.049192,2509.8796,0.08318513,714.6804,0.3997061,-80.1973,-1.0076172,-11.788604,-0.5957581,20.039179,0.39601314,0.024603685,1.3446898,-0.021868542,-0.59680885,0.7590518,0.7293645,26.577692,0.4126642,2.9742496,5.265369,15.550322,1.0977846,-6.3744326,-2.4313617,-5.2443776,12.542778,-0.011891034,-0.011740368,0.31389445,4.755179,3.087438,0.2055725,0.17635472,0.105619825,0.11009305,-27.123825
JGY,24.212969,0.17703724,23.442009,24.37294,25.676374,2.2343655,182.9774,241.34695,102.95201,189.66699,1.0657544,0.65655524,0.41556472,0.95853615,1.5530558,1.137491,15.468755,7.9502993,11.93756,7.6917233,0.68414426,0.74499094,26.835884,0.59931725,4.4672017,3.2175674,17.853493,0.8439662,-5.4491034,-2.6402936,0.029013228,2.2301269,1.2935437,0.74197316,2.5389116,1.7785572,2.903809,2.9193168,22.7217,0.49722055,441.89767,0.29907244,1166.0425,0.23314506,-60.6232,-1.4184997,1465.2693,0.12386126,848.68494,0.44108072,-69.72628,-1.1400717,2507.6194,0.08589794,834.343,0.47436744,-72.92526,-1.0605568,-14.493037,-0.5051894,23.613163,0.3735513,0.0066520046,4.504034,-0.026898898,-0.45576188,0.8014459,0.64674556,32.356117,0.36951488,3.0237477,4.786003,19.942402,0.7945084,-7.2096887,-2.1257303,-7.4612246,15.6345415,-0.026423493,-0.015497834,0.3906912,3.5255299,2.5899532,0.26516777,0.27074492,0.11265152,0.122788675,-24.214071
JAS,19.056953,0.19234677,16.510153,18.820456,21.394125,4.883972,217.1708,230.44202,74.551796,84.4827,1.3177029,0.69867426,0.45288548,1.1210859,2.1212504,1.6683649,20.763502,11.580023,15.326731,9.31555,0.9459121,0.8086146,25.381804,0.5934195,-2.5973568,-6.1297445,25.87975,0.6217937,-4.9091196,-3.2406557,0.046954446,1.9485419,1.5054374,0.80609226,-0.20333005,-20.976513,3.1808357,4.677829,15.956732,0.62888384,566.3313,0.4616221,1206.7762,0.18131976,-51.46729,-1.5737784,1593.2017,0.18484823,847.0214,0.35785618,-57.719364,-1.3248172,2622.776,0.10339507,753.7064,0.35223317,-59.00771,-1.2832849,-11.347878,-0.5388235,18.738602,0.37209713,0.02061832,1.7314205,-0.015875775,-0.80783033,1.081977,0.70478225,30.263174,0.35693416,-4.779868,-3.1880586,28.97313,0.55261105,-6.3248744,-2.6397364,-4.2486153,10.946852,-0.007887454,-0.00827942,0.53087455,3.5235543,2.7793753,0.26186207,0.24031581,0.08488549,0.07384082,-21.75962
JBM,25.920536,0.091906466,25.090733,25.63723,27.363243,2.2725105,122.818115,209.1448,41.148388,50.78566,1.912585,0.678156,0.5633159,1.7902476,2.905817,2.3425012,29.077858,17.04541,25.282604,17.09043,2.6693864,1.2032293,30.517332,0.5165294,16.328901,0.63275737,19.822714,0.8016745,7.1139894,2.1206946,0.029550808,1.823667,1.1899153,0.8158252,5.1689034,0.758028,6.3893456,1.3926905,26.458544,0.51960516,648.34393,0.5229471,1165.4783,0.23542951,-22.8978,-1.7330745,1663.1643,0.23667598,964.3329,0.36839122,-35.14524,-0.9874795,2713.348,0.1470317,879.2469,0.4252088,-40.062473,-0.82782865,-21.800865,-0.37712184,32.30462,0.31215352,-0.029554477,-2.1665232,-0.017705925,-0.7641392,2.5108051,1.0256357,31.86125,0.44889784,16.057388,0.63062,19.586432,0.8117503,6.91047,2.2045805,-9.879624,17.227541,-0.08809823,-0.007627767,6.1910563,3.855018,0.755192,1.2586111,1.1102631,0.05193548,0.024285845,-18.550444
JJS,25.245634,0.2260518,22.484926,25.542393,29.164295,6.679369,208.80823,355.95706,100.454735,110.75758,1.4214398,0.736547,0.47719774,1.1555914,2.2235775,1.7463797,26.000002,13.3633175,20.841257,12.874513,1.0314007,0.9324125,25.013147,0.54496765,1.1254956,12.315474,12.265032,1.2069932,-4.719553,-3.087354,0.05084371,2.2051985,1.5407282,0.73171735,2.1087046,2.1841621,4.068241,1.9663082,17.438795,0.5033852,461.78723,0.33409545,1174.4323,0.19334579,-55.06803,-1.3996661,1479.0486,0.14518464,853.5188,0.39127323,-60.54381,-1.1997031,2529.8416,0.08988253,844.8453,0.45305893,-63.463047,-1.114479,-11.394826,-0.54523575,20.286451,0.3851738,-0.0032804902,-10.254623,-0.022610025,-0.48575637,1.2013286,0.84195894,28.493347,0.38779148,-0.5918717,-23.800947,13.250851,1.1781032,-5.8241334,-2.6246057,-8.896161,17.39159,-0.03531498,-0.017610263,0.44499868,4.011288,3.0064569,0.24872482,0.23197517,0.07307086,0.05651997,-21.263521
KCO,19.092978,0.1534338,16.764317,19.38338,21.158094,4.393778,181.86227,197.40634,111.991196,174.18118,1.0400935,0.5528532,0.52372736,0.91786414,1.4412295,0.9175021,14.724913,8.938416,12.7149935,7.7061462,0.90575635,0.6500585,25.66427,0.49958336,8.735569,1.2574267,13.754844,0.80300933,3.2019327,3.1757827,0.057642747,1.7873243,1.6697975,0.70652765,-1.1040597,-3.8793159,3.8491108,5.5558953,20.773859,0.51689106,503.08325,0.40376538,1275.1422,0.15617162,-55.06405,-1.4416746,1511.6455,0.16545476,999.52277,0.28872618,-66.1157,-1.097147,2526.2478,0.1110837,893.96313,0.3620768,-70.016266,-1.0029495,-15.658175,-0.38290516,25.497585,0.272342,-0.00069027895,-50.72587,-0.01689158,-0.6194662,1.0165533,0.59601027,29.698513,0.3112917,7.687033,1.3770947,14.394894,0.7823543,2.090163,5.106019,-9.573931,17.549404,-0.029895434,-0.0099346135,0.5843376,4.006382,3.35642,0.21380952,0.2135175,0.07276073,0.054110635,-23.716263
KTM,22.41057,0.3030499,14.847591,24.236849,27.551529,12.703938,337.7308,579.2653,157.8427,555.5405,1.1513059,0.8134483,0.246819,0.9527094,1.9340122,1.6871932,20.210941,11.670027,18.841318,11.787068,1.021937,0.9227023,20.397758,0.77788997,15.671341,0.71237034,15.245751,0.8025687,3.3160615,4.6070056,0.060391176,1.8019323,1.6086627,0.7558948,0.17844649,37.244396,5.217687,4.7276325,22.711967,0.81852716,567.57196,0.44355905,1240.5236,0.22430925,-45.144524,-1.5205166,1629.984,0.17491658,924.4705,0.4358967,-54.060917,-1.1639346,2770.9302,0.12668914,925.9159,0.61341035,-58.335106,-1.0392982,-16.801975,-0.45692834,27.04791,0.33029607,-0.015637564,-3.115671,-0.01306181,-0.9159912,1.1027265,0.90645546,24.41785,0.49804297,15.44317,0.710816,15.056293,0.8500564,2.0573273,7.8737183,-6.4852057,14.191439,-0.049535055,-0.0027006492,0.6577008,3.2503662,2.8722157,0.27714285,0.28328967,0.06676056,0.04544846,-26.913523
