timestamp,note,model,accuracy,n_correct,n_total,classes,confusion_matrix,elapsed_s
20260515_142954,first run: no class balancing so majority rules,Binary: straight vs. non-straight,0.48,24,50,"[0, 1]","[[24, 3], [23, 0]]",3.39
20260515_142954,first run: no class balancing so majority rules,3-class: straight / bi / gay,0.42,21,50,"[0, 1, 2]","[[21, 1, 1], [13, 0, 0], [14, 0, 0]]",0.05
20260515_142954,first run: no class balancing so majority rules,Ordinal 1-5: attraction scale,0.42,21,50,"[1, 2, 3, 4, 5]","[[21, 0, 0, 0, 1], [5, 0, 0, 0, 0], [5, 0, 0, 0, 0], [5, 0, 0, 0, 0], [13, 0, 0, 0, 0]]",0.05
